FirstLayer_task_speed_factor_20,ThirdLayer_inter_factor_29,FirstLayer_arg_freq_factor_1,FirstLayer_dialogue_freq_factor_13,ThirdLayer_inter_factor_12,SecondLayer_item_inter_factor_6,SecondLayer_dialogue_inter_factor_4,FirstLayer_task_speed_factor_12,FirstLayer_itemInter_freq_factor_2,FirstLayer_hotkey_freq_factor_2,FirstLayer_arg_speed_factor_7,FirstLayer_task_speed_factor_15,FirstLayer_itemInter_speed_factor_2,ThirdLayer_inter_factor_9,FirstLayer_dialogue_freq_factor_18,SecondLayer_arg_inter_factor_4,FirstLayer_tool_freq_factor_2,SecondLayer_tool_inter_factor_2,FirstLayer_task_speed_factor_30,ThirdLayer_inter_factor_16,fountainScore,SecondLayer_dialogue_inter_factor_1,ThirdLayer_inter_factor_10,SecondLayer_task_inter_factor_13,FirstLayer_task_share_factor_10,FirstLayer_task_speed_factor_28,FirstLayer_task_speed_factor_32,FirstLayer_task_speed_factor_13,ThirdLayer_inter_factor_37,SecondLayer_arg_inter_factor_2,FirstLayer_arg_freq_factor_8,drillRoomScore,FirstLayer_arg_share_factor_2,FirstLayer_arg_freq_factor_6,PREARG,FirstLayer_arg_freq_factor_9,POSTARG,playerName
0.348587082,1.571920013,-0.059328683,-1.769466764,0.745776967,0.208426274,0.729475423,-2.766986222,0.079182413,-0.564376093,-0.036698324,2.469093804,-2.749554684,0.668822736,0.18879792,-0.053333659,-0.80379046,0.948226307,-4.922762872,0.341420558,-4.35361651,-0.379918908,-0.55198162,-1.855795715,1.329633823,0.516680315,0.027541271,5.862881615,0.757868251,-0.587292057,-0.749325859,-3.567880657,0.16090993,-0.279030121,0.778569526,0.332549225,High,1
-1.016587784,-0.488901414,-0.524549195,0.52608535,-0.515974898,1.039435538,-1.438539072,-1.388408975,9.698888432,5.781400166,1.251309325,1.912296378,-1.001538436,0.901275728,-1.647866297,1.165531455,1.222079945,-0.866830614,0.09969704,-0.654209288,-1.955147768,0.5844571,0.351837261,-0.078935198,-1.001276713,0.223892345,-1.075153723,2.58834098,-0.928569185,-0.547190791,0.640820281,0.644470324,-0.723041118,-0.186583141,-1.160501255,-0.409247069,Low,2
-3.984617496,1.114992605,-3.68628279,-1.409749074,0.164664508,0.109163032,-0.070861206,6.789805646,-2.108141383,-0.472112049,-0.051043308,-2.162554254,-0.260121046,-0.557685004,-0.877777799,0.288113653,-0.708239558,0.499555856,4.424938391,-0.365437826,-5.278908854,-0.406991009,-0.884947955,1.550806685,-0.331918628,0.254107652,4.869829054,-7.423047178,-0.572588825,0.378241812,-0.910912694,6.846801542,0.257825656,-0.254478784,1.086912369,0.030281235,Low,3
-0.905519911,0.644464658,0.7894159,-1.130263648,0.734505637,-0.037854664,1.68024282,1.783132141,0.208404357,-0.082159018,-1.978443883,2.822249386,-1.622520468,-1.199689679,1.149931373,-1.167614451,-1.231412959,-0.454137521,-1.160931487,2.127674238,7.59733989,-4.114472861,-0.509898442,0.603165961,-0.461698027,-0.733428546,-1.074498654,-1.582041234,-0.066359774,0.102823004,-1.186227509,0.639803996,-2.15672683,-0.105545427,0.762247307,-2.254027164,Low,4
0.113778583,-0.089473158,-0.347701766,-0.661238922,-0.283008664,0.507277264,-0.125334412,-1.213499774,2.195015553,0.094846483,-0.270874717,1.597830532,1.128131845,-1.82599512,0.731744687,-1.278464695,0.177192542,-0.872608376,-2.32289939,1.037081704,-2.977516408,-0.269958407,0.186961475,-1.867447509,1.729689268,0.638026633,-0.925960842,7.021566981,0.366469505,0.375508815,1.264281596,-2.33606011,-0.791084391,0.795341132,-0.094736536,0.186705597,High,5
1.827945043,-1.100132354,0.802015624,3.681613358,-0.46836715,0.312245938,-0.085388969,-1.71254185,5.396701242,-0.190193327,0.356970187,2.020532473,-0.544832592,0.189828396,0.675269743,0.391950887,-0.262826254,-0.020713912,0.345100647,0.204670818,-3.946272869,-0.100372423,-0.132234995,-0.944359189,1.916879394,0.996687408,-0.879960475,4.581667412,-0.16221917,-0.304197698,0.983571399,-0.981351751,0.833563826,0.600092648,-0.611723028,-0.080533423,Low,6
10.70035529,-0.815913903,-0.123178189,-1.232934308,-0.965837151,0.258240457,2.333825209,4.685747201,6.947597619,-0.652568836,-0.147932394,-4.126565211,-0.714317933,0.213499429,-1.172377723,0.460008422,-0.479154337,0.715245949,6.229091274,-0.14153183,-6.253292284,1.295956193,-0.675399613,5.890465108,-1.631276951,0.387804645,2.59586484,1.766929988,0.622542554,0.342349203,4.421683542,2.695868937,0.199160516,-1.226989663,-2.304820352,-1.993508673,Low,7
2.067127833,-0.029377567,0.217211252,-0.422067893,-1.170579836,-0.703170371,-1.417205071,-2.749365477,8.610307789,2.707679687,-1.043817578,-2.394523578,1.491345893,0.160445623,-0.597367633,-0.625186217,1.353623238,-1.131633359,1.084905957,0.229148726,-1.992559218,0.148003866,-0.195350668,1.173177492,-1.332064824,-0.161375921,0.340168466,0.356738452,0.493433697,-0.469341587,-2.480499777,1.270273028,1.579362247,0.44975692,1.510338835,0.408231709,High,8
3.013794982,0.700530767,-1.407203943,-0.799417925,0.173721002,-0.140387365,0.418119748,2.674438568,-1.746475392,-0.511992933,0.062616358,-5.140190774,0.931043357,-2.165809077,0.251701165,-1.300562594,3.184403082,0.215399886,3.169872959,-0.207449216,-4.229806757,-0.604324925,0.143404724,1.941488002,0.12956679,1.11246278,2.327656288,-4.661306396,0.425020232,0.179070544,0.600029638,4.114179659,-0.443203288,-0.622313606,0.046332981,0.070804879,High,9
1.358462972,0.212301947,0.6549687,-1.156616439,-0.180441249,-0.481889218,-0.222899738,-1.99978074,5.752521243,1.995345504,0.195860262,-1.666174073,1.360872,-0.050924408,1.87965652,0.524757445,1.683889879,-1.239067064,2.692356739,0.838027023,-3.472908939,0.189044165,-0.319754865,1.956948313,-0.662583114,0.624220457,1.731494447,1.724699344,-0.868667114,0.170749351,-0.716735049,1.852909659,-0.608987367,0.230420136,-0.561014167,0.715272499,Low,10
1.47004588,-0.30378115,0.172354924,-0.667979364,0.712580651,0.565651917,0.122393272,-3.172022312,-5.239997705,-0.008042958,0.146415456,1.45185743,-1.428243262,-0.076634372,0.604637016,0.334712448,-0.688171521,-0.05460514,-0.379151953,-0.645987754,-4.942368164,0.310362816,-0.427975947,-0.497555699,0.304057082,-0.131507076,0.384271819,-1.15048933,-0.023664677,0.82479034,-1.614277036,-0.151341041,-0.531461123,-0.092533327,1.876423325,0.423095513,High,11
-1.452016336,-1.054027477,0.545688013,0.025532637,-0.774590825,0.870670282,-0.282784311,-5.084938094,5.059811233,-0.242266353,0.40839853,4.324835379,-0.179817045,-0.333580751,-0.001319605,-0.531556192,-0.376962234,0.765905416,1.237421636,0.289330521,-1.802478604,-0.123917196,-0.035931778,-2.245060151,3.451894048,2.714272173,0.719659324,-1.587565831,0.5950089,0.671263089,-1.582061641,5.058932454,-0.408691567,1.187586695,0.917570011,0.541353883,High,12
3.795510432,0.063701497,-0.657984644,1.169231863,-1.052784,-1.280562908,0.005139773,-0.966896045,6.955232795,0.423650096,-0.357053027,0.607585114,-0.56064274,-0.301964585,0.907739471,-0.726095268,-0.37498138,-0.411767827,0.825982057,-0.622428361,-2.101031588,-1.149697828,0.047032242,0.443576746,-0.907302531,-0.443067273,-1.939863818,4.048132476,-0.187104565,-0.425864396,-1.010182332,-1.17682127,0.486930339,0.904808951,0.743298858,0.20344841,Low,13
-2.74856276,-0.645344008,-0.879257218,2.595196956,0.930518949,-0.172592809,0.622443955,0.541172484,9.114471702,3.449877919,-0.647083052,-1.690761605,2.397891339,1.763527591,-1.322558315,-0.87362984,2.117884381,-0.290157467,0.411904628,-1.787681188,2.122839202,-0.634597669,2.345365967,2.499794841,-1.249485392,-0.138995913,1.246071602,-7.356300774,4.403598788,-0.282862071,-0.304725647,4.249905278,0.720085351,-1.804253543,-0.737319441,0.312654927,High,14
-2.994801489,-1.154801364,-0.997028527,-1.064070829,0.57531484,1.067188348,0.212961303,-0.012735063,-1.859913096,-1.872640478,0.046463971,-4.348854138,4.405347191,-0.539933969,-0.064573365,-0.791736569,-2.255235383,-0.502272609,3.06087477,0.700399129,0.250817521,-1.589210594,3.317012689,1.774751495,1.153499194,-0.140164825,-1.717216984,1.229574544,-0.304901194,1.359862849,-2.694874019,3.168050244,1.766814308,2.121470113,1.398854009,0.144068856,Low,15
-1.845190195,0.555604722,-0.059476796,-1.423202101,0.033404998,0.151131071,-1.279138306,-4.164198433,0.000395633,1.327157345,0.564777664,1.073086209,1.128245697,-0.49497446,-1.306822961,1.66743812,2.009178813,-0.658303659,1.113384156,0.027534006,-2.985510502,-0.258603701,-0.386068703,-2.357617678,1.812579978,1.516709517,-1.690180505,-0.490008607,-1.008683306,-0.240739091,1.025198187,3.670223077,-0.848856474,0.920671324,-1.010454768,0.665598451,Low,16
-0.618165175,-0.135140281,0.711393852,-0.9943153,-1.442491688,0.967709541,-0.078566178,-6.068043878,5.266364029,1.241516261,-0.234111889,2.712353726,1.252917582,-1.179751126,1.556794635,1.154516801,0.043057654,1.562345755,-2.095366805,-0.142520576,-3.985883773,1.05585315,-0.687041478,-2.976701601,0.712227594,0.878534165,2.082227472,-3.323762337,0.016901244,-0.179039793,1.113809573,1.276190767,0.315780068,0.044715674,-1.669191046,-0.01531849,Low,17
-2.85582016,1.652687452,0.789895142,0.411832357,1.41097658,-1.83713676,-0.371936633,1.873878637,0.235738701,0.625211112,-2.228587293,-1.784001531,-0.692124682,0.223105448,0.592155629,0.152835029,-0.621742447,0.324776541,-1.508275578,-0.501788868,4.791704435,-0.613552482,0.485720076,0.081594669,-0.260544074,0.691789482,1.032617904,-5.193254517,0.534287638,-1.400084936,0.003200417,1.648887464,-1.232440974,2.992077299,0.963870026,-2.550638602,High,18
0.13263291,1.310182633,-1.256650483,-0.385890206,-0.54847509,-0.3474297,-0.830948331,-0.599879636,8.614104229,-0.093689333,-0.603905732,1.810071483,2.397777356,0.8138786,-1.253528238,0.756691679,3.606944068,-2.486534665,-0.623912234,0.846683366,-0.584017651,1.129192178,0.713887977,-0.804182475,1.218840233,-0.282623882,-1.122039382,5.230413339,0.474548667,-0.047474777,1.240542069,-1.390151932,0.402673095,-2.412632324,-0.522829029,1.154667835,Low,19
0.528760856,0.518892029,0.447400393,-0.279604949,0.405916413,0.310608493,-0.567945817,-1.857154282,-8.402959744,-0.800022955,-0.264843129,1.843544415,-1.135993106,0.908658449,0.058404952,0.882308952,-1.257728114,-1.045232878,-0.048721335,0.339162537,-3.711051879,-0.121366816,-0.327277617,-0.614770861,1.666032931,0.381903758,-0.275907176,4.152524176,0.542979637,-0.084127036,0.311967359,-0.984740387,-0.170845888,-0.556478062,0.058465532,0.06139337,High,20
