SecondLayer_behaviorType_factor_1,FirstLayer_itemInter_share_factor_1,FirstLayer_tool_speed_factor_2,FirstLayer_itemInter_freq_factor_14,SecondLayer_tool_inter_factor_3,FirstLayer_itemInter_freq_factor_5,ThirdLayer_inter_factor_10,SecondLayer_task_inter_factor_1,FirstLayer_dialogue_freq_factor_3,SecondLayer_tool_inter_factor_2,FirstLayer_tool_share_factor_1,SecondLayer_task_inter_factor_2,FirstLayer_arg_speed_factor_3,FirstLayer_itemInter_freq_factor_9,FirstLayer_dialogue_freq_factor_1,FirstLayer_itemInter_speed_factor_11,FirstLayer_tool_freq_factor_2,FirstLayer_itemInter_speed_factor_10,FirstLayer_tool_speed_factor_1,ThirdLayer_inter_factor_7,FirstLayer_hotkey_share_factor_1,FirstLayer_dialogue_speed_factor_6,FirstLayer_itemInter_freq_factor_1,SecondLayer_Item_inter_factor_4,plantScore,upstreamArgScore,ThirdLayer_inter_factor_16,FirstLayer_itemInter_speed_factor_2,FirstLayer_behaviorType_freq_factor_2,ThirdLayer_inter_factor_9,FirstLayer_hotkey_freq_factor_1,FirstLayer_itemInter_speed_factor_1,SecondLayer_behaviorType_factor_2,crateDeliveryScore,FirstLayer_dialogue_speed_factor_9,SecondLayer_task_inter_factor_3,SecondLayer_arg_inter_factor_4,FirstLayer_dialogue_speed_factor_2,ThirdLayer_inter_factor_17,FirstLayer_itemInter_freq_factor_3,FirstLayer_itemInter_speed_factor_3,FirstLayer_behaviorType_speed_factor_1,SecondLayer_hotkey_inter_factor_2,PREU3,ThirdLayer_inter_factor_5,playerName,POSTU3
-0.011453283,-0.036673756,-8.678848,0.208313471,0.462737859,1.029764926,-1.007726801,1.393494432,0.290221323,-0.334683437,0.340219286,0.960851486,2.338954015,2.216750033,-0.228776757,-0.077733419,-2.127508259,0.526196669,5.3486714,-0.169717661,-9.9460945,4.578013694,1.239590012,0.640997104,-0.773678209,1.252089068,1.158926573,0.257632524,-0.629213722,-1.051274854,-4.1086493,-1.947047977,-1.480888961,1.62521692,0,-0.586529195,0.53063596,0.135448058,0.571349076,0.147236408,1.033809037,-0.3108692,-0.30956886,Low,0.409848957,1,High
-0.789794248,3.634391052,2.3551064,0.260703048,-2.48109833,-0.373146983,-1.125901616,0.721990624,-0.483868607,-1.946722925,-1.383624946,-3.12198136,0,0.235946741,-0.453883782,1.306316691,-1.984769454,-0.556376553,-2.0923383,-0.006964716,-10.868799,2.934628941,3.022998027,0.31691341,-0.817006791,-0.724365709,-1.025673149,0.125141386,1.280083303,0.825635739,-5.4372935,-0.316459022,-1.53010716,-0.524925895,0,0.994742884,-0.670781314,-0.071010222,0.792899351,0.631660817,-0.507946636,2.34908711,0.813257078,Low,0.230898247,2,Low
-0.659081733,-0.620457823,-1.9639072,-0.060908718,-0.604110349,0.816503018,1.454023894,-2.074097858,-0.126675224,1.107781012,0.642862482,0.788670732,0,-0.448522104,-0.341934733,1.107984559,-0.393318316,4.211583684,-7.197236,2.69487633,-2.7328146,1.211515929,-1.442196151,-0.735222424,3.679064273,-1.694077781,-0.476481645,0.093880438,0.184699338,-0.460734109,-26.782312,-1.535425316,-0.482915333,0.399498075,0,-1.603133018,-1.482064817,0.184490064,0.23366967,2.008925457,1.424258535,1.101372406,0.367780774,Low,0.013571794,3,High
-0.64476527,-2.842347173,-8.905938,-0.79184546,0.359777625,2.319359529,-0.520072741,1.149204052,-0.200240311,-0.622846338,1.564722613,2.135986897,0,1.247106079,-0.390632049,0.102345144,-0.369238917,1.101184857,-3.8459492,0.130307765,0.007676431,4.165715718,1.033845506,0.022799787,-1.5017342,1.252089068,0.141560983,0.203775347,0.015448004,-1.270857607,-10.522817,-2.521687464,-0.613012863,1.868113931,0,0.762787032,1.134877838,-0.081147886,1.09779563,0.248592461,0.002646115,0.498697789,-1.488844529,Low,0.388175077,4,Low
-0.8357423,-1.319181421,2.3934062,0.09935062,-0.337342098,1.676653081,0.059844644,-0.067920904,0.367102227,0.071651269,0.258754094,-2.973029771,0,-0.3832728,-0.162339691,-1.025884131,-0.216052212,-0.734016781,8.915671,-1.292461624,-3.745721,0,-0.64218838,-0.467571037,2.037774651,-0.556236521,1.503375058,0.503164477,1.243298443,0.297796545,4.1555824,1.054977732,1.101804438,-0.490455018,0,0.411443079,0.179826003,-0.098686922,-0.470423389,0.693782526,0.136464149,0.687079198,-0.988086471,High,-0.597904146,5,Low
0.923774868,2.884269167,-2.8255477,0.986688283,1.273863346,1.047655423,-1.254083524,1.664092754,0.168698657,-1.219184514,2.448171905,-0.766632903,0,-3.520834544,-0.456623444,0.511856284,-2.405470023,-2.106283517,6.9527307,1.819618404,5.623258,2.228194387,1.81950154,0.284511631,-0.963722596,2.333908277,-0.078221296,-3.133959489,0.363579698,-2.065406917,-15.806086,-0.698622187,0.092561368,2.177683638,1.276793362,-1.451989197,-1.263584464,-0.113244486,1.152428695,1.125746747,-1.186270652,-0.197274827,2.070542764,Low,-1.743212325,6,High
0.771033975,-0.17449706,0.78732973,-0.301720041,0.520596138,-0.286393414,-0.136023719,1.700543343,0.192653921,-0.039716447,0.143521578,-0.543206951,0,-1.481052349,-0.20743481,-0.543563455,1.760760854,-0.308529826,4.029559,-1.113003603,7.4998903,-0.675999588,-0.350260162,0.234929179,-1.595339872,1.252089068,-1.799960201,0.255286906,0.008874595,0.190112058,-0.059837516,-1.036784817,1.690773358,-0.233627561,0,0.677352055,-0.287745687,-0.02497428,-0.255437741,1.153846483,-0.036029665,0.757935109,-1.074485856,Low,-0.592927174,7,Low
0.591549545,-0.611896166,-2.6179583,1.893617312,-0.213079041,-4.564356542,-0.510775398,0.617514534,0.019904211,0.589208176,-0.814427635,5.030598252,0,-2.371607096,0.893372116,1.05470994,0.714083105,0.966430354,-2.3124318,-0.674617684,-1.2428464,0,-1.742621963,0.598500274,-1.336732479,0.234137575,0.416683957,0.704867191,-0.368997411,1.225286639,6.786496,-0.32234277,-0.579275514,-2.128560839,-0.643473948,2.148350727,-0.566126842,0.042416663,0.722103288,-0.349278873,0.050610179,-1.515226916,0.694392058,High,-0.705267004,8,High
-0.049344993,-0.837785826,-2.117756,0.601817237,1.070580346,1.317332824,0.094481608,-0.556501688,-0.062431485,0.481245029,-1.117070831,1.362125969,-1.36834846,-0.862956301,-0.072249528,-1.061480921,-0.572473301,0.402671186,-1.8496729,0.057514499,3.996231,5.451422546,0.947771334,-1.538125161,0.867994906,1.252089068,2.321582299,0.21929481,0.570416616,0.317355574,-2.973716,-1.945997688,-0.2122111,-0.122406456,0,-2.084933965,0.590103376,-0.171858833,0.745177765,-0.62247907,-0.146196219,-0.07655819,-1.582912207,Low,-0.163087622,9,High
-0.313944921,-0.226911819,-21.87172,1.564436711,-0.302913732,1.902229451,0.316668216,2.005631728,0.398031219,0.095174201,0.258754094,-0.164800848,0,0.961844788,-0.158629157,0.519064414,1.025001488,2.956590408,-1.6587714,1.257154325,5.9205484,2.707041142,-1.530638424,0.802994746,0.640661983,1.525312849,0.607518564,1.390844655,-0.205710654,-0.281125229,5.602205,-1.591115047,0.951482411,0.224508469,0,-1.144675712,0.061375193,-0.062612829,0.642208742,1.311715544,0.532116099,-0.209207859,-1.040830736,High,0.354123052,10,High
