FirstLayer_task_share_factor_1,playerName,U2PostScoreLevel
304,0,0
252,1,1
172,2,0
201,2,0
293,3,0
272,247,1
283,4,1
66,5,1
202,6,0
184,7,0
310,8,0
180,8,0
78,9,0
179,10,1
116,11,0
125,12,0
24,13,1
178,14,1
294,15,1
300,16,1
315,17,1
108,18,0
124,19,1
14,20,1
269,248,1
8,249,1
270,250,1
83,251,1
223,21,0
90,22,0
278,23,0
275,24,0
128,25,1
212,26,0
237,27,0
131,28,0
276,29,0
0,30,0
145,30,0
303,31,1
122,32,0
111,33,1
208,252,0
316,34,0
149,253,1
265,35,1
246,254,1
73,36,0
277,37,1
93,38,0
198,38,0
69,39,0
171,255,0
84,256,0
241,40,0
291,41,0
292,42,1
288,43,1
139,44,0
234,257,1
15,45,0
301,46,1
260,258,0
221,258,0
35,47,1
168,47,1
64,47,1
138,48,1
242,49,0
317,49,0
261,50,0
266,51,1
254,51,1
45,52,0
312,53,1
205,54,0
244,55,1
95,259,0
183,56,0
28,57,0
204,58,0
109,59,1
264,260,0
41,60,0
2,61,0
314,62,0
247,63,1
36,64,0
136,65,1
113,66,0
209,67,0
229,68,0
104,69,1
76,70,0
213,70,0
189,71,0
65,72,1
18,261,0
207,73,0
30,74,0
115,75,0
126,76,1
295,76,1
253,262,1
298,77,0
102,78,1
176,79,1
215,80,1
23,81,0
228,81,0
121,82,1
231,82,1
52,83,1
199,84,0
20,85,0
5,86,1
302,263,0
88,87,0
165,88,0
271,89,0
137,90,1
3,91,0
313,91,0
96,92,1
85,93,0
140,94,0
12,95,1
160,96,0
187,97,0
61,98,0
31,99,1
186,100,0
268,101,1
81,102,0
4,103,0
51,104,1
249,104,1
262,105,1
103,264,1
216,106,0
305,107,1
238,108,1
287,109,1
243,265,1
91,110,0
151,111,0
127,112,0
70,113,1
33,114,0
210,114,0
146,115,0
13,116,1
174,266,1
54,117,0
141,118,1
308,119,1
306,119,1
251,120,0
147,121,1
281,122,1
225,123,1
248,124,1
129,125,0
157,126,1
279,127,0
163,128,0
217,129,0
82,130,1
319,131,1
63,132,0
107,133,0
10,267,0
106,268,1
123,134,1
245,135,1
148,136,0
46,137,1
239,137,1
60,138,1
273,139,1
230,140,1
296,141,1
92,142,0
67,143,0
307,143,0
299,144,1
188,145,0
58,145,0
110,146,1
48,147,0
226,269,1
250,148,0
150,149,0
290,150,0
87,151,1
120,152,0
280,153,0
274,270,0
197,154,1
75,155,0
285,156,1
47,157,0
164,158,0
196,158,0
105,159,1
175,160,1
1,161,0
177,162,0
132,163,0
119,163,0
144,164,0
72,165,1
19,271,0
240,272,0
263,273,1
193,274,0
162,275,0
68,166,0
155,167,0
57,168,0
101,169,1
206,170,1
200,171,1
89,172,0
156,173,0
27,175,0
211,174,0
185,176,0
153,177,0
257,177,0
203,178,1
6,179,0
235,180,0
43,181,1
29,181,1
159,182,1
289,183,0
86,184,1
219,185,0
62,186,0
37,187,0
25,188,0
34,189,0
255,276,0
117,190,1
22,191,0
220,192,0
297,193,1
79,194,0
80,194,0
267,195,1
161,196,1
166,277,1
77,197,0
133,198,0
195,199,0
59,199,0
173,200,0
320,201,0
49,278,1
55,202,0
222,202,0
143,203,0
233,203,0
134,204,1
170,279,1
50,205,0
21,206,0
99,207,0
135,207,0
259,208,1
152,209,0
167,210,0
100,211,1
190,280,1
318,281,1
98,212,0
227,282,1
169,213,1
158,214,0
94,215,0
194,216,1
130,217,0
236,218,1
39,219,1
214,220,1
282,283,1
17,284,1
181,221,0
286,285,1
9,222,1
44,223,1
53,224,1
284,286,1
40,225,0
182,226,1
224,227,0
191,228,0
56,229,0
311,287,1
112,230,0
7,231,1
71,232,1
74,233,0
32,234,0
118,234,0
42,235,1
142,236,0
16,237,0
11,238,0
114,239,1
38,240,0
192,240,0
258,241,0
232,242,1
256,288,1
26,243,1
97,244,0
154,245,0
309,246,0
218,289,1
