FirstLayer_task_speed_factor_1,FirstLayer_task_speed_factor_2,playerName,U2PostScoreLevel
228,59,0,0
91,42,1,1
130,4,2,0
193,73,2,0
288,163,3,0
239,218,247,1
154,51,4,1
172,263,5,1
167,226,6,0
78,302,7,0
9,12,8,0
217,287,8,0
214,25,9,0
25,83,10,1
185,18,11,0
147,176,12,0
41,160,13,1
116,47,14,1
233,211,15,1
232,180,16,1
4,148,17,1
231,294,18,0
150,247,19,1
107,305,20,1
101,190,248,1
12,183,249,1
244,142,250,1
267,22,251,1
42,71,21,0
251,36,22,0
292,41,23,0
32,134,24,0
212,201,25,1
145,220,26,0
152,60,27,0
249,39,28,0
296,74,29,0
6,317,30,0
235,27,30,0
188,100,31,1
216,121,32,0
120,204,33,1
52,66,252,0
1,320,34,0
124,17,253,1
53,264,35,1
59,154,254,1
237,197,36,0
67,103,37,1
173,76,38,0
242,84,38,0
56,64,39,0
278,217,255,0
155,23,256,0
28,128,40,0
60,57,41,0
146,265,42,1
171,254,43,1
289,157,44,0
85,80,257,1
280,92,45,0
201,253,46,1
127,94,258,0
294,177,258,0
309,319,47,1
236,49,47,1
295,173,47,1
57,165,48,1
63,306,49,0
11,310,49,0
243,87,50,0
189,270,51,1
204,251,51,1
268,117,52,0
311,199,53,1
109,260,54,0
164,29,55,1
252,19,259,0
250,14,56,0
192,138,57,0
18,272,58,0
285,208,59,1
198,202,260,0
141,15,60,0
318,9,61,0
315,318,62,0
277,82,63,1
110,222,64,0
87,24,65,1
174,231,66,0
92,96,67,0
81,233,68,0
100,295,69,1
284,30,70,0
162,13,70,0
44,169,71,0
202,112,72,1
70,135,261,0
121,31,73,0
160,239,74,0
175,43,75,0
230,229,76,1
208,267,76,1
305,161,262,1
247,242,77,0
308,159,78,1
156,275,79,1
129,300,80,1
246,122,81,0
223,102,81,0
73,69,82,1
47,268,82,1
104,88,83,1
165,151,84,0
95,119,85,0
3,259,86,1
69,240,263,0
194,304,87,0
34,210,88,0
298,152,89,0
93,282,90,1
320,178,91,0
187,298,91,0
125,283,92,1
61,143,93,0
23,203,94,0
206,6,95,1
123,266,96,0
163,105,97,0
118,276,98,0
319,11,99,1
7,215,100,0
112,137,101,1
105,113,102,0
5,8,103,0
51,139,104,1
36,273,104,1
306,97,105,1
113,228,264,1
274,72,106,0
144,205,107,1
310,93,108,1
213,48,109,1
283,206,265,1
260,124,110,0
84,192,111,0
143,129,112,0
126,179,113,1
227,184,114,0
39,284,114,0
183,2,115,0
148,314,116,1
256,207,266,1
108,299,117,0
179,26,118,1
226,234,119,1
229,162,119,1
40,200,120,0
37,236,121,1
307,144,122,1
159,127,123,1
302,125,124,1
276,61,125,0
0,5,126,1
221,174,127,0
271,86,128,0
182,262,129,0
157,108,130,1
35,311,131,1
98,149,132,0
281,101,133,0
14,313,267,0
134,44,268,1
197,271,134,1
291,58,135,1
258,130,136,0
138,109,137,1
43,292,137,1
38,315,138,1
266,32,139,1
111,194,140,1
149,280,141,1
68,286,142,0
261,45,143,0
264,170,143,0
99,81,144,1
158,308,145,0
161,33,145,0
80,155,146,1
263,307,147,0
115,55,269,1
279,146,148,0
30,46,149,0
170,277,150,0
58,246,151,1
48,115,152,0
255,191,153,0
46,111,270,0
88,75,154,1
94,250,155,0
103,70,156,1
257,248,157,0
304,188,158,0
220,116,158,0
132,85,159,1
19,213,160,1
102,156,161,0
137,189,162,0
75,257,163,0
20,243,163,0
135,281,164,0
77,296,165,1
114,187,271,0
200,123,272,0
300,196,273,1
241,175,274,0
74,54,275,0
26,77,166,0
119,171,167,0
64,28,168,0
269,214,169,1
45,301,170,1
191,7,171,1
122,303,172,0
62,274,173,0
97,141,175,0
50,118,174,0
49,0,176,0
136,67,177,0
313,16,177,0
270,278,178,1
13,290,179,0
272,166,180,0
287,309,181,1
128,153,181,1
17,110,182,1
207,288,183,0
215,133,184,1
293,50,185,0
55,289,186,0
290,312,187,0
151,107,188,0
133,244,189,0
83,65,276,0
106,91,190,1
286,114,191,0
15,126,192,0
238,68,193,1
79,219,194,0
282,145,194,0
96,249,195,1
142,237,196,1
211,269,277,1
181,279,197,0
190,158,198,0
22,255,199,0
177,212,199,0
224,258,200,0
317,10,201,0
89,52,278,1
253,78,202,0
234,227,202,0
117,224,203,0
186,291,203,0
178,256,204,1
153,35,279,1
225,168,205,0
254,147,206,0
219,62,207,0
24,230,207,0
33,241,208,1
10,216,209,0
196,209,210,0
184,3,211,1
262,245,280,1
8,20,281,1
265,167,212,0
21,261,282,1
273,21,213,1
176,132,214,0
222,235,215,0
54,37,216,1
203,90,217,0
140,195,218,1
168,40,219,1
303,104,220,1
301,120,283,1
166,223,284,1
29,232,221,0
195,150,285,1
314,252,222,1
31,238,223,1
90,172,224,1
259,89,286,1
72,106,225,0
76,186,226,1
209,221,227,0
312,99,228,0
218,63,229,0
2,34,287,1
297,193,230,0
316,316,231,1
180,164,232,1
86,95,233,0
131,79,234,0
27,285,234,0
245,98,235,1
65,225,236,0
210,136,237,0
16,1,238,0
66,56,239,1
248,140,240,0
205,38,240,0
82,293,241,0
169,198,242,1
240,185,288,1
71,53,243,1
299,131,244,0
139,297,245,0
199,181,246,0
275,182,289,1
