FirstLayer_behaviorType_freq_factor_1,playerName,U2PostScoreLevel
29,0,0
269,1,1
277,2,0
219,2,0
96,3,0
125,247,1
182,4,1
224,5,1
66,6,0
195,7,0
4,8,0
173,8,0
117,9,0
160,10,1
27,11,0
284,12,0
297,13,1
134,14,1
179,15,1
103,16,1
249,17,1
10,18,0
150,19,1
167,20,1
112,248,1
276,249,1
314,250,1
79,251,1
238,21,0
107,22,0
164,23,0
127,24,0
265,25,1
252,26,0
272,27,0
22,28,0
33,29,0
188,30,0
119,30,0
244,31,1
206,32,0
174,33,1
216,252,0
78,34,0
102,253,1
88,35,1
20,254,1
170,36,0
236,37,1
147,38,0
83,38,0
40,39,0
313,255,0
0,256,0
25,40,0
198,41,0
305,42,1
50,43,1
186,44,0
61,257,1
162,45,0
46,46,1
72,258,0
136,258,0
116,47,1
204,47,1
221,47,1
133,48,1
151,49,0
108,49,0
225,50,0
189,51,1
13,51,1
6,52,0
14,53,1
192,54,0
26,55,1
109,259,0
294,56,0
191,57,0
31,58,0
275,59,1
100,260,0
149,60,0
196,61,0
41,62,0
270,63,1
177,64,0
250,65,1
123,66,0
202,67,0
87,68,0
65,69,1
97,70,0
183,70,0
237,71,0
51,72,1
181,261,0
157,73,0
145,74,0
211,75,0
315,76,1
104,76,1
245,262,1
42,77,0
110,78,1
266,79,1
126,80,1
106,81,0
113,81,0
67,82,1
69,82,1
21,83,1
215,84,0
302,85,0
264,86,1
229,263,0
60,87,0
85,88,0
18,89,0
262,90,1
64,91,0
35,91,0
101,92,1
296,93,0
142,94,0
59,95,1
92,96,0
291,97,0
208,98,0
178,99,1
241,100,0
48,101,1
138,102,0
235,103,0
115,104,1
146,104,1
222,105,1
171,264,1
311,106,0
255,107,1
248,108,1
124,109,1
90,265,1
299,110,0
63,111,0
213,112,0
207,113,1
76,114,0
16,114,0
307,115,0
95,116,1
280,266,1
30,117,0
295,118,1
68,119,1
84,119,1
158,120,0
309,121,1
212,122,1
243,123,1
38,124,1
217,125,0
176,126,1
230,127,0
166,128,0
89,129,0
12,130,1
242,131,1
226,132,0
310,133,0
93,267,0
214,268,1
24,134,1
306,135,1
62,136,0
289,137,1
194,137,1
318,138,1
156,139,1
319,140,1
70,141,1
28,142,0
246,143,0
320,143,0
258,144,1
82,145,0
155,145,0
105,146,1
132,147,0
36,269,1
267,148,0
75,149,0
77,150,0
228,151,1
152,152,0
47,153,0
316,270,0
285,154,1
54,155,0
86,156,1
148,157,0
259,158,0
180,158,0
210,159,1
317,160,1
220,161,0
290,162,0
2,163,0
120,163,0
99,164,0
168,165,1
304,271,0
288,272,0
301,273,1
283,274,0
55,275,0
175,166,0
94,167,0
139,168,0
131,169,1
52,170,1
253,171,1
118,172,0
209,173,0
240,175,0
263,174,0
282,176,0
49,177,0
114,177,0
80,178,1
143,179,0
163,180,0
268,181,1
154,181,1
205,182,1
140,183,0
45,184,1
9,185,0
257,186,0
293,187,0
190,188,0
91,189,0
159,276,0
17,190,1
185,191,0
223,192,0
165,193,1
199,194,0
19,194,0
261,195,1
32,196,1
111,277,1
161,197,0
58,198,0
251,199,0
71,199,0
81,200,0
172,201,0
278,278,1
5,202,0
98,202,0
273,203,0
271,203,0
201,204,1
130,279,1
137,205,0
7,206,0
169,207,0
1,207,0
11,208,1
57,209,0
247,210,0
15,211,1
121,280,1
44,281,1
34,212,0
184,282,1
8,213,1
122,214,0
141,215,0
256,216,1
281,217,0
43,218,1
187,219,1
239,220,1
260,283,1
232,284,1
279,221,0
298,285,1
135,222,1
53,223,1
231,224,1
254,286,1
23,225,0
153,226,1
3,227,0
234,228,0
73,229,0
144,287,1
197,230,0
218,231,1
39,232,1
56,233,0
227,234,0
233,234,0
274,235,1
128,236,0
303,237,0
300,238,0
74,239,1
193,240,0
203,240,0
37,241,0
292,242,1
129,288,1
312,243,1
287,244,0
308,245,0
200,246,0
286,289,1
