FirstLayer_behaviorType_share_factor_1,playerName,U2PostScoreLevel
269,0,0
116,1,1
76,2,0
251,2,0
84,3,0
62,247,1
103,4,1
220,5,1
89,6,0
174,7,0
8,8,0
201,8,0
289,9,0
226,10,1
111,11,0
211,12,0
71,13,1
213,14,1
140,15,1
146,16,1
179,17,1
224,18,0
214,19,1
136,20,1
250,248,1
192,249,1
119,250,1
187,251,1
181,21,0
126,22,0
191,23,0
39,24,0
28,25,1
205,26,0
243,27,0
175,28,0
229,29,0
19,30,0
9,30,0
117,31,1
223,32,0
294,33,1
288,252,0
66,34,0
40,253,1
197,35,1
301,254,1
171,36,0
182,37,1
4,38,0
235,38,0
274,39,0
102,255,0
314,256,0
222,40,0
208,41,0
31,42,1
244,43,1
200,44,0
68,257,1
87,45,0
257,46,1
74,258,0
302,258,0
264,47,1
209,47,1
319,47,1
296,48,1
307,49,0
293,49,0
180,50,0
252,51,1
268,51,1
290,52,0
132,53,1
210,54,0
266,55,1
270,259,0
163,56,0
306,57,0
128,58,0
263,59,1
305,260,0
96,60,0
37,61,0
148,62,0
27,63,1
110,64,0
13,65,1
241,66,0
168,67,0
75,68,0
195,69,1
58,70,0
188,70,0
150,71,0
283,72,1
67,261,0
15,73,0
227,74,0
78,75,0
316,76,1
42,76,1
207,262,1
52,77,0
308,78,1
300,79,1
261,80,1
177,81,0
83,81,0
271,82,1
215,82,1
106,83,1
137,84,0
55,85,0
82,86,1
312,263,0
112,87,0
45,88,0
245,89,0
50,90,1
166,91,0
189,91,0
1,92,1
170,93,0
304,94,0
158,95,1
190,96,0
155,97,0
93,98,0
57,99,1
16,100,0
254,101,1
233,102,0
203,103,0
142,104,1
135,104,1
292,105,1
228,264,1
97,106,0
152,107,1
120,108,1
115,109,1
193,265,1
70,110,0
298,111,0
231,112,0
98,113,1
53,114,0
104,114,0
79,115,0
29,116,1
279,266,1
239,117,0
100,118,1
123,119,1
169,119,1
151,120,0
121,121,1
147,122,1
221,123,1
291,124,1
38,125,0
278,126,1
234,127,0
10,128,0
156,129,0
7,130,1
144,131,1
206,132,0
0,133,0
303,267,0
64,268,1
232,134,1
161,135,1
218,136,0
21,137,1
20,137,1
113,138,1
295,139,1
320,140,1
284,141,1
265,142,0
212,143,0
315,143,0
173,144,1
285,145,0
299,145,0
130,146,1
139,147,0
143,269,1
44,148,0
134,149,0
48,150,0
236,151,1
43,152,0
297,153,0
310,270,0
286,154,1
253,155,0
258,156,1
183,157,0
3,158,0
262,158,0
260,159,1
2,160,1
204,161,0
199,162,0
317,163,0
14,163,0
267,164,0
196,165,1
122,271,0
77,272,0
248,273,1
275,274,0
281,275,0
145,166,0
81,167,0
11,168,0
273,169,1
159,170,1
149,171,1
178,172,0
198,173,0
167,175,0
22,174,0
73,176,0
256,177,0
54,177,0
184,178,1
61,179,0
165,180,0
85,181,1
18,181,1
153,182,1
92,183,0
5,184,1
125,185,0
101,186,0
65,187,0
90,188,0
219,189,0
311,276,0
230,190,1
80,191,0
33,192,0
63,193,1
318,194,0
157,194,0
172,195,1
237,196,1
94,277,1
164,197,0
141,198,0
30,199,0
41,199,0
46,200,0
131,201,0
99,278,1
160,202,0
24,202,0
202,203,0
127,203,0
59,204,1
277,279,1
154,205,0
240,206,0
95,207,0
6,207,0
255,208,1
138,209,0
162,210,0
225,211,1
86,280,1
280,281,1
276,212,0
109,282,1
249,213,1
238,214,0
49,215,0
25,216,1
69,217,0
216,218,1
88,219,1
12,220,1
194,283,1
35,284,1
17,221,0
51,285,1
287,222,1
60,223,1
217,224,1
47,286,1
118,225,0
242,226,1
36,227,0
176,228,0
282,229,0
185,287,1
247,230,0
23,231,1
272,232,1
186,233,0
56,234,0
246,234,0
259,235,1
124,236,0
72,237,0
105,238,0
309,239,1
26,240,0
34,240,0
107,241,0
133,242,1
313,288,1
129,243,1
91,244,0
114,245,0
108,246,0
32,289,1
