FirstLayer_dialogue_freq_factor_1,FirstLayer_dialogue_freq_factor_2,FirstLayer_dialogue_freq_factor_3,FirstLayer_dialogue_freq_factor_4,FirstLayer_dialogue_freq_factor_5,playerName,U2PostScoreLevel
139,86,273,242,141,0,0
25,262,21,16,274,1,1
222,80,275,207,259,2,0
97,138,226,201,56,2,0
97,138,226,201,56,3,0
237,3,72,272,10,247,1
101,264,115,51,130,4,1
38,250,178,99,221,5,1
103,156,216,217,93,6,0
42,70,279,248,154,7,0
32,257,157,112,163,8,0
36,255,171,147,184,8,0
108,220,59,88,206,9,0
279,139,4,10,169,10,1
88,199,85,119,119,11,0
226,233,182,11,283,12,0
34,166,235,222,60,13,1
199,11,199,246,125,14,1
269,184,54,67,237,15,1
209,129,194,3,233,16,1
247,266,159,31,281,17,1
267,43,282,212,59,18,0
281,79,17,231,151,19,1
90,192,91,103,132,20,1
122,195,95,82,193,248,1
200,212,188,49,270,249,1
58,26,105,267,118,250,1
98,99,27,157,83,251,1
221,87,207,266,223,21,0
113,278,128,261,71,22,0
15,107,10,22,263,23,0
84,103,24,149,100,24,0
219,256,132,66,140,25,1
172,196,39,59,247,26,0
214,76,225,21,44,27,0
137,57,16,174,20,28,0
205,160,218,159,265,29,0
141,116,246,204,90,30,0
93,140,223,202,19,30,0
180,134,172,144,87,31,1
174,5,270,209,179,32,0
227,51,22,84,273,33,1
78,128,261,181,269,252,0
159,36,80,252,114,34,0
198,39,257,226,99,253,1
195,22,2,233,80,35,1
75,236,144,96,124,254,1
19,180,52,148,186,36,0
201,15,193,263,49,37,1
7,54,134,107,171,38,0
243,102,210,225,181,38,0
229,74,12,219,53,39,0
75,236,144,96,124,255,0
170,29,7,195,38,256,0
249,151,224,210,35,40,0
5,190,58,43,22,41,0
22,12,1,279,188,42,1
6,114,35,42,271,43,1
203,25,211,257,42,44,0
258,131,243,163,94,257,1
97,138,226,201,56,45,0
80,35,28,27,134,46,1
225,181,150,2,220,258,0
