FirstLayer_itemInter_freq_factor_1,playerName,U2PostScoreLevel
191,0,0
277,1,1
272,2,0
187,2,0
88,3,0
258,247,1
274,4,1
173,5,1
21,6,0
161,7,0
69,8,0
150,8,0
110,9,0
304,10,1
41,11,0
239,12,0
77,13,1
200,14,1
87,15,1
3,16,1
188,17,1
228,18,0
201,19,1
152,20,1
98,248,1
206,249,1
248,250,1
134,251,1
163,21,0
221,22,0
282,23,0
55,24,0
11,25,1
231,26,0
1,27,0
208,28,0
112,29,0
141,30,0
50,30,0
30,31,1
252,32,0
234,33,1
253,252,0
168,34,0
214,253,1
197,35,1
89,254,1
19,36,0
199,37,1
254,38,0
183,38,0
292,39,0
93,255,0
142,256,0
68,40,0
286,41,0
285,42,1
317,43,1
215,44,0
257,257,1
99,45,0
16,46,1
0,258,0
84,258,0
81,47,1
147,47,1
319,47,1
305,48,1
12,49,0
225,49,0
318,50,0
66,51,1
232,51,1
237,52,0
117,53,1
266,54,0
278,55,1
209,259,0
269,56,0
167,57,0
175,58,0
114,59,1
148,260,0
264,60,0
92,61,0
211,62,0
53,63,1
222,64,0
127,65,1
220,66,0
300,67,0
54,68,0
169,69,1
75,70,0
210,70,0
288,71,0
120,72,1
160,261,0
40,73,0
32,74,0
205,75,0
8,76,1
100,76,1
275,262,1
154,77,0
109,78,1
255,79,1
157,80,1
36,81,0
7,81,0
299,82,1
279,82,1
144,83,1
83,84,0
52,85,0
149,86,1
182,263,0
47,87,0
131,88,0
49,89,0
104,90,1
189,91,0
31,91,0
270,92,1
226,93,0
249,94,0
56,95,1
202,96,0
15,97,0
267,98,0
171,99,1
76,100,0
119,101,1
216,102,0
145,103,0
194,104,1
195,104,1
271,105,1
260,264,1
124,106,0
310,107,1
268,108,1
10,109,1
298,265,1
111,110,0
250,111,0
65,112,0
135,113,1
125,114,0
262,114,0
20,115,0
227,116,1
307,266,1
230,117,0
137,118,1
256,119,1
26,119,1
107,120,0
121,121,1
38,122,1
95,123,1
241,124,1
165,125,0
242,126,1
4,127,0
312,128,0
174,129,0
132,130,1
133,131,1
233,132,0
97,133,0
303,267,0
90,268,1
34,134,1
130,135,1
316,136,0
246,137,1
94,137,1
243,138,1
62,139,1
51,140,1
27,141,1
6,142,0
2,143,0
273,143,0
261,144,1
213,145,0
70,145,0
247,146,1
180,147,0
276,269,1
64,148,0
193,149,0
116,150,0
118,151,1
103,152,0
158,153,0
102,270,0
293,154,1
35,155,0
143,156,1
245,157,0
236,158,0
313,158,0
283,159,1
212,160,1
291,161,0
265,162,0
91,163,0
45,163,0
184,164,0
190,165,1
86,271,0
181,272,0
73,273,1
196,274,0
105,275,0
162,166,0
284,167,0
28,168,0
122,169,1
39,170,1
61,171,1
302,172,0
101,173,0
23,175,0
17,174,0
24,176,0
170,177,0
82,177,0
71,178,1
44,179,0
13,180,0
115,181,1
25,181,1
309,182,1
314,183,0
172,184,1
217,185,0
179,186,0
186,187,0
204,188,0
287,189,0
207,276,0
263,190,1
37,191,0
33,192,0
5,193,1
136,194,0
80,194,0
235,195,1
296,196,1
108,277,1
224,197,0
128,198,0
9,199,0
42,199,0
79,200,0
219,201,0
60,278,1
43,202,0
140,202,0
320,203,0
294,203,0
306,204,1
259,279,1
113,205,0
295,206,0
146,207,0
301,207,0
308,208,1
289,209,0
58,210,0
238,211,1
251,280,1
280,281,1
164,212,0
244,282,1
185,213,1
14,214,0
57,215,0
192,216,1
59,217,0
138,218,1
129,219,1
290,220,1
159,283,1
67,284,1
74,221,0
106,285,1
218,222,1
139,223,1
311,224,1
63,286,1
223,225,0
315,226,1
85,227,0
297,228,0
151,229,0
198,287,1
156,230,0
126,231,1
203,232,1
281,233,0
48,234,0
78,234,0
123,235,1
240,236,0
229,237,0
177,238,0
153,239,1
18,240,0
72,240,0
166,241,0
29,242,1
155,288,1
96,243,1
22,244,0
46,245,0
176,246,0
178,289,1
