FirstLayer_itemInter_share_factor_1,playerName,U2PostScoreLevel
238,0,0
304,1,1
265,2,0
23,2,0
116,3,0
48,247,1
35,4,1
214,5,1
159,6,0
83,7,0
72,8,0
143,8,0
251,9,0
286,10,1
109,11,0
301,12,0
19,13,1
213,14,1
183,15,1
294,16,1
239,17,1
160,18,0
39,19,1
61,20,1
142,248,1
268,249,1
197,250,1
98,251,1
189,21,0
6,22,0
316,23,0
169,24,0
205,25,1
249,26,0
269,27,0
84,28,0
281,29,0
178,30,0
100,30,0
252,31,1
312,32,0
293,33,1
217,252,0
139,34,0
211,253,1
199,35,1
74,254,1
75,36,0
202,37,1
227,38,0
193,38,0
7,39,0
122,255,0
76,256,0
45,40,0
278,41,0
120,42,1
307,43,1
172,44,0
67,257,1
32,45,0
287,46,1
290,258,0
185,258,0
201,47,1
216,47,1
2,47,1
319,48,1
280,49,0
28,49,0
1,50,0
267,51,1
21,51,1
93,52,0
220,53,1
313,54,0
5,55,1
234,259,0
291,56,0
137,57,0
155,58,0
111,59,1
182,260,0
25,60,0
41,61,0
16,62,0
179,63,1
51,64,0
43,65,1
89,66,0
245,67,0
129,68,0
171,69,1
147,70,0
17,70,0
318,71,0
11,72,1
69,261,0
180,73,0
73,74,0
154,75,0
275,76,1
145,76,1
302,262,1
124,77,0
219,78,1
46,79,1
250,80,1
167,81,0
257,81,0
52,82,1
57,82,1
99,83,1
255,84,0
62,85,0
156,86,1
71,263,0
108,87,0
232,88,0
105,89,0
115,90,1
123,91,0
54,91,0
87,92,1
206,93,0
297,94,0
81,95,1
241,96,0
153,97,0
285,98,0
112,99,1
70,100,0
114,101,1
126,102,0
63,103,0
42,104,1
196,104,1
310,105,1
88,264,1
38,106,0
256,107,1
311,108,1
253,109,1
309,265,1
58,110,0
233,111,0
132,112,0
225,113,1
86,114,0
226,114,0
138,115,0
134,116,1
315,266,1
187,117,0
101,118,1
320,119,1
300,119,1
259,120,0
244,121,1
210,122,1
229,123,1
271,124,1
221,125,0
82,126,1
270,127,0
12,128,0
223,129,0
242,130,1
165,131,1
258,132,0
60,133,0
306,267,0
18,268,1
260,134,1
173,135,1
68,136,0
8,137,1
85,137,1
276,138,1
262,139,1
191,140,1
176,141,1
283,142,0
292,143,0
240,143,0
140,144,1
188,145,0
64,145,0
91,146,1
186,147,0
24,269,1
77,148,0
9,149,0
92,150,0
110,151,1
127,152,0
224,153,0
94,270,0
314,154,1
218,155,0
162,156,1
66,157,0
113,158,0
13,158,0
15,159,1
33,160,1
298,161,0
288,162,0
175,163,0
144,163,0
135,164,0
106,165,1
136,271,0
157,272,0
248,273,1
274,274,0
204,275,0
148,166,0
284,167,0
26,168,0
163,169,1
209,170,1
53,171,1
305,172,0
168,173,0
40,175,0
164,174,0
146,176,0
90,177,0
231,177,0
198,178,1
131,179,0
151,180,0
207,181,1
121,181,1
317,182,1
4,183,0
273,184,1
119,185,0
118,186,0
141,187,0
10,188,0
295,189,0
254,276,0
194,190,1
195,191,0
190,192,0
303,193,1
55,194,0
158,194,0
230,195,1
128,196,1
247,277,1
104,197,0
102,198,0
263,199,0
150,199,0
50,200,0
29,201,0
79,278,1
166,202,0
65,202,0
279,203,0
14,203,0
264,204,1
181,279,1
22,205,0
3,206,0
80,207,0
261,207,0
47,208,1
0,209,0
203,210,0
277,211,1
192,280,1
282,281,1
184,212,0
177,282,1
97,213,1
49,214,0
152,215,0
246,216,1
96,217,0
228,218,1
212,219,1
149,220,1
243,283,1
56,284,1
174,221,0
20,285,1
272,222,1
125,223,1
266,224,1
78,286,1
30,225,0
308,226,1
34,227,0
289,228,0
95,229,0
296,287,1
37,230,0
130,231,1
222,232,1
133,233,0
27,234,0
117,234,0
236,235,1
36,236,0
208,237,0
59,238,0
237,239,1
161,240,0
103,240,0
31,241,0
299,242,1
235,288,1
215,243,1
200,244,0
107,245,0
170,246,0
44,289,1
