FirstLayer_map_share_size_factor_1,FirstLayer_map_share_size_factor_2,playerName,U2PostScoreLevel
0,0,1,0
0,0,2,1
1,1,3,0
1,1,4,0
1,1,5,0
0,0,6,1
0,0,7,1
1,1,8,1
0,0,9,0
0,0,10,0
1,1,11,0
1,1,12,0
1,1,13,0
0,0,14,1
1,1,15,0
0,0,16,0
1,1,17,1
0,0,18,1
1,1,19,1
1,1,20,1
1,1,21,1
1,1,22,0
0,1,23,1
1,1,24,1
1,1,25,1
1,1,26,1
1,1,27,1
1,1,28,1
0,0,29,0
0,0,30,0
0,0,31,0
1,1,32,0
1,1,33,1
1,0,34,0
1,1,35,0
1,1,36,0
0,0,37,0
1,1,38,0
1,1,39,0
0,1,40,1
0,0,41,0
0,0,42,1
0,0,43,0
1,1,44,0
0,0,45,1
0,1,46,1
0,0,47,1
1,0,48,0
0,0,49,1
0,0,50,0
0,0,51,0
0,1,52,0
1,1,53,0
1,1,54,0
1,1,55,0
0,0,56,0
1,0,57,1
0,0,58,1
0,0,59,0
1,1,60,1
1,1,61,0
1,1,62,1
1,1,63,0
1,1,64,0
1,1,65,1
1,1,66,1
0,0,67,1
0,0,68,1
1,1,69,0
1,1,70,0
0,0,71,0
1,1,72,1
1,1,73,1
1,1,74,0
1,1,75,1
0,0,76,0
1,0,77,1
1,1,78,0
0,0,79,0
1,1,80,0
1,1,81,0
0,0,82,1
1,1,83,0
0,0,84,0
1,1,85,0
0,1,86,0
1,1,87,1
0,0,88,0
1,1,89,1
0,0,90,0
0,0,91,0
1,1,92,0
1,1,93,1
0,1,94,0
1,1,95,0
0,0,96,0
1,1,97,1
1,1,98,0
1,1,99,0
1,1,100,0
0,0,101,0
1,1,102,1
0,0,103,1
0,0,104,1
1,1,105,0
1,1,106,1
0,0,107,1
1,1,108,1
1,1,109,0
1,1,110,0
0,0,111,1
0,0,112,1
1,1,113,1
1,1,114,0
1,1,115,0
1,1,116,1
1,1,117,0
1,1,118,0
1,1,119,0
1,1,120,0
1,1,121,1
1,1,122,0
1,1,123,0
0,0,124,1
1,1,125,0
0,0,126,0
1,1,127,1
1,1,128,0
1,1,129,0
0,0,130,0
1,1,131,1
1,1,132,0
0,0,133,1
0,0,134,0
1,1,135,0
0,0,136,1
1,1,137,1
0,0,138,1
1,1,139,1
1,1,140,0
0,1,141,1
1,1,142,1
1,1,143,1
0,0,144,1
0,1,145,0
0,0,146,0
1,1,147,0
1,1,148,1
1,1,149,0
0,1,150,0
1,1,151,0
0,0,152,1
0,0,153,1
0,0,154,0
1,1,155,1
0,0,156,1
1,1,157,1
1,1,158,0
1,1,159,1
1,1,160,1
1,1,161,1
1,1,162,1
1,1,163,0
1,1,164,1
1,1,165,0
1,1,166,0
1,1,167,0
0,0,168,1
0,1,169,1
0,0,170,0
1,1,171,0
0,0,172,0
1,1,173,1
1,1,174,1
1,1,175,1
0,0,176,0
0,0,177,1
1,1,178,1
1,1,179,1
1,1,180,1
1,1,181,1
1,1,182,1
1,1,183,0
1,1,184,0
0,0,185,0
1,1,186,1
1,1,187,0
1,1,188,0
0,0,189,1
1,1,190,0
0,0,191,1
1,1,192,0
1,1,193,0
1,1,194,0
1,1,195,1
1,1,196,0
1,1,197,0
0,0,198,0
0,0,199,1
1,1,200,0
1,1,201,1
0,0,202,0
1,1,203,0
0,0,204,0
0,0,205,1
1,1,206,1
0,0,207,0
0,0,208,0
1,1,209,0
1,1,210,0
1,1,211,0
1,1,212,1
1,1,213,0
1,1,214,0
0,0,215,1
0,0,216,0
1,1,217,0
1,1,218,0
1,1,219,0
1,1,220,0
0,1,221,1
1,1,222,1
1,1,223,1
0,0,224,0
1,1,225,0
1,1,226,0
1,1,227,0
1,1,228,0
0,0,229,0
0,0,230,0
0,0,231,1
1,1,232,0
1,1,233,0
1,1,234,1
1,1,235,1
0,0,236,1
1,0,237,0
0,0,238,1
1,1,239,0
1,1,240,0
1,1,241,0
1,1,242,0
0,0,243,0
1,0,244,0
0,0,245,1
1,1,246,0
1,1,247,0
1,1,248,1
1,1,249,0
1,1,250,0
1,1,251,1
0,0,252,1
0,0,253,1
1,1,254,0
0,0,255,0
1,1,256,0
1,1,257,0
1,1,258,0
1,1,259,0
1,1,260,1
1,1,261,0
1,1,262,0
0,0,263,0
0,0,264,0
0,0,265,1
0,0,266,1
0,0,267,0
1,1,268,0
1,1,269,0
0,0,270,0
0,0,271,1
0,1,272,0
1,1,273,0
0,0,274,1
1,1,275,1
0,1,276,1
0,0,277,0
1,1,278,1
1,1,279,1
1,1,280,0
1,1,281,0
0,0,282,1
1,1,283,0
0,0,284,1
1,1,285,1
1,1,286,1
1,1,287,1
1,1,288,1
1,1,289,0
1,0,290,1
1,1,291,1
1,1,292,1
0,0,293,1
1,1,294,1
1,1,295,0
0,0,296,1
1,1,297,0
0,0,298,0
0,0,299,0
0,0,300,1
1,1,301,0
1,1,302,1
0,0,303,1
0,0,304,0
1,1,305,0
1,1,306,0
1,1,307,1
0,0,308,0
1,1,309,0
1,1,310,0
1,1,311,1
1,1,312,0
1,1,313,0
1,1,314,0
0,0,315,1
1,1,316,1
1,1,317,1
1,1,318,0
1,1,319,0
1,1,320,0
1,0,321,1
