SecondLayer_arg_Inter_factor_1,SecondLayer_arg_Inter_factor_2,playerName,U2PostScoreLevel
1,142,1,0
1,198,2,1
0,40,3,0
0,41,4,0
0,4,5,0
1,230,6,1
1,30,7,1
1,126,8,1
0,229,9,0
1,258,10,0
1,51,11,0
1,85,12,0
1,168,13,0
1,0,14,1
0,135,15,0
1,216,16,0
0,19,17,1
1,63,18,1
1,129,19,1
1,13,20,1
1,187,21,1
1,206,22,0
1,203,23,1
1,224,24,1
1,144,25,1
1,5,26,1
1,71,27,1
1,6,28,1
1,50,29,0
0,252,30,0
1,108,31,0
1,223,32,0
1,213,33,1
1,101,34,0
0,214,35,0
0,92,36,0
1,190,37,0
0,263,38,0
0,2,39,0
1,18,40,1
1,282,41,0
1,60,42,1
1,109,43,0
1,313,44,0
1,3,45,1
1,238,46,1
0,61,47,1
1,316,48,0
1,261,49,1
1,114,50,0
1,166,51,0
0,116,52,0
0,137,53,0
0,279,54,0
0,306,55,0
1,317,56,0
0,180,57,1
1,178,58,1
1,131,59,0
0,320,60,1
0,319,61,0
1,34,62,1
1,154,63,0
1,106,64,0
0,28,65,1
0,89,66,1
0,207,67,1
1,100,68,1
0,118,69,0
0,125,70,0
0,159,71,0
1,105,72,1
1,115,73,1
0,246,74,0
1,280,75,1
1,93,76,0
0,58,77,1
1,208,78,0
1,304,79,0
1,233,80,0
1,296,81,0
0,27,82,1
1,240,83,0
0,134,84,0
1,271,85,0
1,87,86,0
0,79,87,1
1,221,88,0
1,163,89,1
1,37,90,0
1,211,91,0
0,222,92,0
0,103,93,1
0,152,94,0
0,237,95,0
1,254,96,0
0,76,97,1
1,291,98,0
0,302,99,0
1,232,100,0
0,23,101,0
0,262,102,1
0,266,103,1
1,53,104,1
1,121,105,0
1,283,106,1
1,175,107,1
1,150,108,1
0,164,109,0
0,82,110,0
1,49,111,1
1,31,112,1
0,231,113,1
1,215,114,0
0,145,115,0
1,311,116,1
1,54,117,0
0,294,118,0
1,228,119,0
1,243,120,0
0,185,121,1
0,20,122,0
0,226,123,0
1,196,124,1
1,56,125,0
1,318,126,0
1,248,127,1
1,217,128,0
0,155,129,0
1,14,130,0
1,32,131,1
1,173,132,0
1,97,133,1
1,297,134,0
1,182,135,0
1,26,136,1
1,45,137,1
1,249,138,1
1,270,139,1
0,165,140,0
1,235,141,1
1,192,142,1
1,16,143,1
1,183,144,1
1,102,145,0
1,64,146,0
1,191,147,0
1,65,148,1
0,197,149,0
0,9,150,0
0,24,151,0
0,312,152,1
1,119,153,1
1,189,154,0
0,179,155,1
1,69,156,1
1,39,157,1
1,268,158,0
1,292,159,1
1,67,160,1
1,21,161,1
1,17,162,1
1,193,163,0
0,122,164,1
0,149,165,0
0,120,166,0
1,202,167,0
1,219,168,1
1,70,169,1
1,273,170,0
0,298,171,0
1,162,172,0
0,309,173,1
1,269,174,1
1,244,175,1
1,289,176,0
1,286,177,1
1,117,178,1
1,174,179,1
1,267,180,1
1,128,181,1
0,295,182,1
1,184,183,0
1,104,184,0
1,29,185,0
1,188,186,1
0,225,187,0
0,33,188,0
1,66,189,1
0,158,190,0
0,256,191,1
1,57,192,0
1,287,193,0
0,177,194,0
1,48,195,1
1,242,196,0
1,74,197,0
1,253,198,0
1,62,199,1
1,275,200,0
1,78,201,1
1,10,202,0
0,43,203,0
0,151,204,0
1,139,205,1
1,146,206,1
1,205,207,0
1,281,208,0
0,148,209,0
0,147,210,0
0,111,211,0
1,140,212,1
1,315,213,0
0,251,214,0
1,278,215,1
1,276,216,0
1,259,217,0
1,167,218,0
1,218,219,0
0,94,220,0
0,123,221,1
1,59,222,1
1,46,223,1
1,130,224,0
0,227,225,0
0,277,226,0
1,22,227,0
0,204,228,0
1,169,229,0
1,288,230,0
0,212,231,1
1,52,232,0
0,310,233,0
0,35,234,1
0,1,235,1
1,171,236,1
1,8,237,0
1,170,238,1
0,99,239,0
1,186,240,0
1,15,241,0
1,68,242,0
1,12,243,0
1,73,244,0
1,303,245,1
0,210,246,0
0,161,247,0
1,124,248,1
0,96,249,0
0,38,250,0
1,81,251,1
1,176,252,1
1,84,253,1
1,72,254,0
1,293,255,0
1,44,256,0
1,11,257,0
0,245,258,0
1,133,259,0
0,7,260,1
0,290,261,0
0,90,262,0
1,195,263,0
1,157,264,0
1,113,265,1
1,98,266,1
1,25,267,0
0,264,268,0
0,257,269,0
0,55,270,0
1,36,271,1
0,88,272,0
1,308,273,0
1,194,274,1
1,241,275,1
1,143,276,1
1,138,277,0
1,83,278,1
1,42,279,1
1,181,280,0
1,234,281,0
1,172,282,1
1,314,283,0
1,160,284,1
0,156,285,1
1,220,286,1
1,274,287,1
0,284,288,1
1,305,289,0
1,300,290,1
1,239,291,1
1,209,292,1
1,301,293,1
1,47,294,1
0,75,295,0
1,136,296,1
0,95,297,0
1,110,298,0
0,285,299,0
1,200,300,1
0,107,301,0
0,86,302,1
0,260,303,1
1,255,304,0
0,112,305,0
0,77,306,0
1,127,307,1
1,307,308,0
1,247,309,0
1,132,310,0
1,236,311,1
0,272,312,0
0,201,313,0
0,265,314,0
1,299,315,1
1,250,316,1
1,153,317,1
1,80,318,0
1,199,319,0
1,91,320,0
1,141,321,1
