SecondLayer_dialogue_Inter_factor_1,SecondLayer_dialogue_Inter_factor_2,SecondLayer_dialogue_Inter_factor_3,playerName,U2PostScoreLevel
292,262,257,0,0
67,31,95,1,1
291,188,293,2,0
206,265,280,2,0
239,211,247,3,0
50,53,40,247,1
212,194,82,4,1
250,102,203,5,1
256,250,94,6,0
316,129,68,7,0
194,28,158,8,0
195,252,204,8,0
84,189,264,9,0
0,313,86,10,1
110,83,118,11,0
287,46,154,12,0
262,183,23,13,1
159,97,234,14,1
86,284,22,15,1
153,175,315,16,1
284,274,50,17,1
313,303,127,18,0
6,314,3,19,1
102,55,141,20,1
115,184,132,248,1
244,62,266,249,1
79,145,251,250,1
33,70,271,251,1
233,80,177,21,0
208,264,12,22,0
25,5,133,23,0
18,84,213,24,0
174,243,18,25,1
65,43,159,26,0
202,273,316,27,0
10,113,209,28,0
270,205,140,29,0
227,100,42,30,0
217,255,206,30,0
164,99,11,31,1
288,238,217,32,0
48,76,106,33,1
311,56,112,252,0
43,45,41,34,0
263,109,149,253,1
3,59,110,35,1
196,149,73,254,1
83,12,0,36,0
168,170,171,37,1
81,1,253,38,0
223,280,255,38,0
8,21,88,39,0
140,222,240,255,0
7,42,77,256,0
259,298,210,40,0
121,14,9,41,0
1,0,273,42,1
76,2,138,43,1
158,16,103,44,0
253,294,64,257,1
282,256,239,45,0
14,11,308,46,1
114,229,312,258,0
98,121,166,258,0
82,126,101,47,1
130,266,258,47,1
303,306,301,47,1
69,51,254,48,1
138,217,313,49,0
137,206,285,49,0
72,7,290,50,0
150,64,309,51,1
74,78,220,51,1
189,263,187,52,0
100,236,19,53,1
125,27,268,54,0
205,228,28,55,1
56,115,269,259,0
20,108,246,56,0
120,160,30,57,0
193,285,39,58,0
19,63,108,59,1
134,75,186,260,0
58,309,49,60,0
251,178,16,61,0
249,253,179,62,0
151,167,297,63,1
60,281,145,64,0
231,171,125,65,1
117,320,151,66,0
247,220,208,67,0
173,202,63,68,0
108,150,216,69,1
171,268,261,70,0
190,287,226,70,0
45,9,161,71,0
188,261,44,72,1
289,79,2,261,0
51,15,139,73,0
111,157,131,74,0
279,271,81,75,0
141,135,306,76,1
242,87,84,76,1
308,233,57,262,1
155,176,56,77,0
28,36,55,78,1
240,311,14,79,1
156,22,227,80,1
136,247,99,81,0
106,154,302,81,0
293,260,75,82,1
283,291,197,82,1
17,60,43,83,1
241,50,109,84,0
157,153,53,85,0
80,282,150,86,1
246,200,157,263,0
90,68,238,87,0
198,258,267,88,0
305,107,26,89,0
99,210,218,90,1
297,251,24,91,0
92,159,191,91,0
116,112,45,92,1
166,30,259,93,0
204,191,242,94,0
129,111,29,95,1
203,163,272,96,0
57,101,113,97,0
309,73,121,98,0
302,216,91,99,1
47,58,162,100,0
162,237,13,101,1
294,179,51,102,0
73,123,200,103,0
224,48,62,104,1
107,54,25,104,1
319,8,223,105,1
42,71,250,264,1
197,297,224,106,0
267,155,303,107,1
276,293,320,108,1
113,215,307,109,1
145,122,294,265,1
234,147,185,110,0
135,299,47,111,0
109,267,249,112,0
211,124,21,113,1
237,195,85,114,0
21,118,248,114,0
169,49,52,115,0
53,81,89,116,1
123,223,298,266,1
312,302,70,117,0
101,114,189,118,1
275,259,319,119,1
228,61,311,119,1
186,138,20,120,0
254,204,232,121,1
199,244,128,122,1
71,77,235,123,1
285,106,195,124,1
176,172,147,125,0
11,301,230,126,1
210,239,310,127,0
184,29,263,128,0
78,305,27,129,0
277,290,136,130,1
207,94,190,131,1
310,98,15,132,0
52,67,93,133,0
31,165,219,267,0
122,105,172,268,1
273,300,115,134,1
70,134,245,135,1
93,69,241,136,0
63,34,35,137,1
222,242,205,137,1
37,288,124,138,1
260,40,98,139,1
12,174,176,140,1
175,133,69,141,1
161,270,318,142,0
124,269,305,143,0
68,304,146,143,0
307,219,233,144,1
248,232,79,145,0
61,190,262,145,0
286,168,170,146,1
183,125,165,147,0
216,310,111,269,1
149,52,134,148,0
243,182,119,149,0
128,17,74,150,0
154,296,83,151,1
133,307,173,152,0
97,35,120,153,0
304,240,122,270,0
182,180,135,154,1
187,218,265,155,0
75,116,178,156,1
298,120,61,157,0
281,32,279,158,0
4,65,276,158,0
320,277,289,159,1
258,224,59,160,1
24,10,148,161,0
89,38,36,162,0
220,196,243,163,0
143,198,168,163,0
191,245,237,164,0
300,230,229,165,1
230,177,221,271,0
64,74,207,272,0
269,173,198,273,1
299,164,274,274,0
271,92,116,275,0
229,20,160,166,0
119,66,283,167,0
144,308,152,168,0
59,37,164,169,1
181,315,215,170,1
296,279,5,171,1
315,93,169,172,0
264,203,214,173,0
192,207,155,175,0
55,89,7,174,0
36,283,275,176,0
54,142,104,177,0
180,316,32,177,0
200,140,80,178,1
209,72,117,179,0
96,128,228,180,0
201,161,126,181,1
105,82,31,181,1
235,6,236,182,1
146,181,287,183,0
127,278,87,184,1
62,104,102,185,0
91,257,225,186,0
104,144,60,187,0
38,18,97,188,0
34,276,54,189,0
29,23,163,276,0
103,319,183,190,1
179,33,66,191,0
46,39,142,192,0
213,86,304,193,1
85,166,278,194,0
132,226,270,194,0
26,131,296,195,1
317,103,105,196,1
131,95,78,277,1
274,214,181,197,0
160,186,153,198,0
185,241,317,199,0
170,151,8,199,0
118,90,17,200,0
87,132,180,201,0
139,127,37,278,1
148,225,194,202,0
215,275,295,202,0
318,272,299,203,0
13,318,156,203,0
226,187,90,204,1
112,208,260,279,1
147,139,4,205,0
30,19,129,206,0
236,246,256,207,0
23,312,314,207,0
44,197,175,208,1
261,143,1,209,0
221,295,107,210,0
41,317,38,211,1
252,156,34,280,1
32,44,288,281,1
2,3,193,212,0
232,248,144,282,1
142,25,10,213,1
268,234,65,214,0
126,110,6,215,0
290,117,67,216,1
225,96,167,217,0
40,24,284,218,1
5,26,184,219,1
265,192,212,220,1
238,231,300,283,1
255,209,72,284,1
172,185,174,221,0
266,152,222,285,1
94,57,196,222,1
301,201,58,223,1
95,289,201,224,1
163,213,188,286,1
280,221,33,225,0
314,249,244,226,1
214,85,182,227,0
295,88,282,228,0
39,141,143,229,0
257,227,137,287,1
219,254,281,230,0
27,41,96,231,1
66,130,46,232,1
88,47,71,233,0
245,136,92,234,0
152,292,231,234,0
218,137,211,235,1
306,148,76,236,0
16,13,100,237,0
165,162,199,238,0
35,286,48,239,1
167,199,123,240,0
49,158,192,240,0
22,91,252,241,0
15,193,286,242,1
177,146,202,288,1
77,119,114,243,1
9,4,291,244,0
178,212,277,245,0
278,169,130,246,0
272,235,292,289,1
