SecondLayer_hotkey_Inter_factor_1,playerName,U2PostScoreLevel
275,0,0
204,1,1
184,2,0
225,2,0
176,3,0
223,247,1
19,4,1
216,5,1
159,6,0
267,7,0
109,8,0
271,8,0
106,9,0
117,10,1
104,11,0
37,12,0
268,13,1
251,14,1
33,15,1
4,16,1
42,17,1
136,18,0
291,19,1
96,20,1
119,248,1
73,249,1
248,250,1
222,251,1
289,21,0
295,22,0
69,23,0
156,24,0
46,25,1
137,26,0
8,27,0
232,28,0
182,29,0
83,30,0
127,30,0
200,31,1
237,32,0
100,33,1
264,252,0
290,34,0
210,253,1
273,35,1
191,254,1
113,36,0
250,37,1
86,38,0
235,38,0
298,39,0
70,255,0
238,256,0
164,40,0
139,41,0
308,42,1
302,43,1
226,44,0
107,257,1
201,45,0
12,46,1
3,258,0
103,258,0
45,47,1
151,47,1
320,47,1
276,48,1
20,49,0
140,49,0
318,50,0
17,51,1
212,51,1
211,52,0
61,53,1
303,54,0
310,55,1
260,259,0
27,56,0
224,57,0
53,58,0
279,59,1
244,260,0
51,60,0
82,61,0
236,62,0
25,63,1
243,64,0
209,65,1
24,66,0
206,67,0
68,68,0
196,69,1
36,70,0
240,70,0
255,71,0
188,72,1
220,261,0
55,73,0
124,74,0
259,75,0
5,76,1
116,76,1
270,262,1
87,77,0
172,78,1
11,79,1
110,80,1
130,81,0
6,81,0
265,82,1
252,82,1
115,83,1
52,84,0
30,85,0
15,86,1
122,263,0
58,87,0
215,88,0
141,89,0
131,90,1
105,91,0
126,91,0
281,92,1
207,93,0
21,94,0
135,95,1
186,96,0
114,97,0
144,98,0
170,99,1
277,100,0
185,101,1
217,102,0
228,103,0
98,104,1
152,104,1
234,105,1
294,264,1
162,106,0
313,107,1
149,108,1
2,109,1
197,265,1
178,110,0
280,111,0
261,112,0
44,113,1
155,114,0
158,114,0
13,115,0
180,116,1
287,266,1
233,117,0
62,118,1
28,119,1
7,119,1
91,120,0
76,121,1
219,122,1
112,123,1
101,124,1
129,125,0
65,126,1
10,127,0
314,128,0
50,129,0
95,130,1
173,131,1
245,132,0
177,133,0
306,267,0
157,268,1
14,134,1
168,135,1
319,136,0
296,137,1
167,137,1
123,138,1
64,139,1
22,140,1
153,141,1
32,142,0
0,143,0
269,143,0
274,144,1
183,145,0
93,145,0
78,146,1
80,147,0
202,269,1
40,148,0
213,149,0
221,150,0
79,151,1
26,152,0
198,153,0
143,270,0
128,154,1
142,155,0
263,156,1
194,157,0
286,158,0
316,158,0
305,159,1
288,160,1
34,161,0
190,162,0
160,163,0
88,163,0
266,164,0
231,165,1
165,271,0
246,272,0
134,273,1
84,274,0
166,275,0
257,166,0
311,167,0
48,168,0
67,169,1
9,170,1
147,171,1
247,172,0
249,173,0
146,175,0
31,174,0
54,176,0
283,177,0
256,177,0
163,178,1
18,179,0
71,180,0
66,181,1
118,181,1
161,182,1
315,183,0
56,184,1
175,185,0
94,186,0
208,187,0
90,188,0
154,189,0
205,276,0
59,190,1
38,191,0
145,192,0
1,193,1
57,194,0
97,194,0
121,195,1
309,196,1
35,277,1
239,197,0
214,198,0
23,199,0
29,199,0
284,200,0
81,201,0
72,278,1
74,202,0
278,202,0
300,203,0
304,203,0
299,204,1
254,279,1
307,205,0
171,206,0
189,207,0
312,207,0
317,208,1
301,209,0
63,210,0
272,211,1
60,280,1
262,281,1
193,212,0
187,282,1
99,213,1
174,214,0
43,215,0
148,216,1
138,217,0
85,218,1
92,219,1
199,220,1
89,283,1
133,284,1
39,221,0
75,285,1
230,222,1
293,223,1
203,224,1
47,286,1
297,225,0
181,226,1
241,227,0
282,228,0
253,229,0
49,287,1
258,230,0
229,231,1
108,232,1
285,233,0
227,234,0
120,234,0
169,235,1
292,236,0
77,237,0
218,238,0
150,239,1
41,240,0
242,240,0
192,241,0
179,242,1
102,288,1
111,243,1
16,244,0
132,245,0
125,246,0
195,289,1
