SecondLayer_task_Inter_factor_1,playerName,U2PostScoreLevel
176,0,0
309,1,1
43,2,0
38,2,0
41,3,0
268,247,1
1,4,1
190,5,1
62,6,0
233,7,0
95,8,0
48,8,0
148,9,0
303,10,1
102,11,0
285,12,0
44,13,1
223,14,1
240,15,1
83,16,1
281,17,1
255,18,0
172,19,1
42,20,1
160,248,1
68,249,1
67,250,1
128,251,1
9,21,0
227,22,0
312,23,0
163,24,0
147,25,1
206,26,0
47,27,0
207,28,0
212,29,0
203,30,0
60,30,0
200,31,1
302,32,0
283,33,1
179,252,0
180,34,0
133,253,1
232,35,1
132,254,1
265,36,0
254,37,1
248,38,0
208,38,0
196,39,0
18,255,0
253,256,0
20,40,0
308,41,0
2,42,1
316,43,1
267,44,0
213,257,1
25,45,0
89,46,1
90,258,0
167,258,0
72,47,1
28,47,1
16,47,1
310,48,1
129,49,0
55,49,0
30,50,0
76,51,1
74,51,1
82,52,0
246,53,1
297,54,0
195,55,1
204,259,0
301,56,0
141,57,0
137,58,0
215,59,1
202,260,0
125,60,0
117,61,0
108,62,0
78,63,1
209,64,0
12,65,1
36,66,0
306,67,0
158,68,0
136,69,1
66,70,0
118,70,0
319,71,0
97,72,1
139,261,0
155,73,0
193,74,0
138,75,0
22,76,1
77,76,1
311,262,1
170,77,0
235,78,1
317,79,1
211,80,1
23,81,0
50,81,0
275,82,1
81,82,1
191,83,1
145,84,0
114,85,0
165,86,1
6,263,0
56,87,0
93,88,0
116,89,0
94,90,1
182,91,0
64,91,0
157,92,1
142,93,0
307,94,0
121,95,1
54,96,0
143,97,0
290,98,0
52,99,1
40,100,0
221,101,1
228,102,0
242,103,0
152,104,1
51,104,1
295,105,1
230,264,1
19,106,0
110,107,1
318,108,1
15,109,1
299,265,1
29,110,0
286,111,0
88,112,0
264,113,1
53,114,0
214,114,0
86,115,0
183,116,1
315,266,1
260,117,0
106,118,1
313,119,1
61,119,1
259,120,0
238,121,1
171,122,1
245,123,1
279,124,1
273,125,0
222,126,1
37,127,0
17,128,0
113,129,0
162,130,1
166,131,1
266,132,0
101,133,0
298,267,0
123,268,1
236,134,1
126,135,1
271,136,0
174,137,1
46,137,1
187,138,1
75,139,1
194,140,1
79,141,1
49,142,0
159,143,0
274,143,0
261,144,1
229,145,0
175,145,0
98,146,1
134,147,0
4,269,1
31,148,0
140,149,0
181,150,0
224,151,1
249,152,0
144,153,0
226,270,0
296,154,1
104,155,0
103,156,1
256,157,0
0,158,0
84,158,0
251,159,1
164,160,1
305,161,0
294,162,0
201,163,0
192,163,0
69,164,0
115,165,1
70,271,0
87,272,0
269,273,1
263,274,0
35,275,0
24,166,0
5,167,0
124,168,0
32,169,1
250,170,1
218,171,1
289,172,0
99,173,0
107,175,0
153,174,0
109,176,0
127,177,0
216,177,0
135,178,1
161,179,0
186,180,0
177,181,1
21,181,1
280,182,1
7,183,0
217,184,1
244,185,0
34,186,0
219,187,0
105,188,0
314,189,0
272,276,0
287,190,1
130,191,0
57,192,0
239,193,1
112,194,0
85,194,0
122,195,1
304,196,1
237,277,1
10,197,0
197,198,0
3,199,0
154,199,0
149,200,0
63,201,0
65,278,1
199,202,0
11,202,0
292,203,0
8,203,0
300,204,1
262,279,1
178,205,0
150,206,0
91,207,0
45,207,0
257,208,1
156,209,0
252,210,0
278,211,1
210,280,1
288,281,1
270,212,0
168,282,1
14,213,1
185,214,0
146,215,0
231,216,1
92,217,0
120,218,1
100,219,1
276,220,1
26,283,1
71,284,1
205,221,0
58,285,1
243,222,1
119,223,1
282,224,1
59,286,1
169,225,0
320,226,1
13,227,0
234,228,0
220,229,0
293,287,1
73,230,0
225,231,1
241,232,1
284,233,0
27,234,0
96,234,0
184,235,1
198,236,0
247,237,0
80,238,0
277,239,1
131,240,0
151,240,0
173,241,0
291,242,1
189,288,1
258,243,1
188,244,0
39,245,0
33,246,0
111,289,1
