SecondLayer_tool_Inter_factor_1,playerName,U2PostScoreLevel
245,0,0
16,1,1
314,2,0
233,2,0
213,3,0
145,247,1
104,4,1
225,5,1
131,6,0
113,7,0
317,8,0
238,8,0
133,9,0
304,10,1
216,11,0
58,12,0
191,13,1
97,14,1
130,15,1
142,16,1
132,17,1
178,18,0
0,19,1
148,20,1
152,248,1
307,249,1
293,250,1
9,251,1
117,21,0
279,22,0
228,23,0
252,24,0
25,25,1
166,26,0
277,27,0
151,28,0
140,29,0
174,30,0
285,30,0
223,31,1
106,32,0
181,33,1
39,252,0
71,34,0
29,253,1
253,35,1
36,254,1
59,36,0
255,37,1
187,38,0
316,38,0
13,39,0
112,255,0
102,256,0
231,40,0
116,41,0
26,42,1
18,43,1
235,44,0
158,257,1
144,45,0
206,46,1
159,258,0
236,258,0
320,47,1
319,47,1
310,47,1
243,48,1
51,49,0
295,49,0
201,50,0
50,51,1
175,51,1
45,52,0
17,53,1
244,54,0
24,55,1
84,259,0
224,56,0
61,57,0
184,58,0
76,59,1
41,260,0
34,60,0
182,61,0
209,62,0
78,63,1
81,64,0
232,65,1
283,66,0
105,67,0
141,68,0
190,69,1
256,70,0
11,70,0
200,71,0
230,72,1
87,261,0
89,73,0
108,74,0
198,75,0
241,76,1
82,76,1
168,262,1
286,77,0
91,78,1
315,79,1
6,80,1
109,81,0
138,81,0
313,82,1
282,82,1
64,83,1
35,84,0
276,85,0
199,86,1
246,263,0
263,87,0
298,88,0
266,89,0
134,90,1
179,91,0
86,91,0
171,92,1
94,93,0
207,94,0
185,95,1
14,96,0
129,97,0
98,98,0
294,99,1
208,100,0
275,101,1
202,102,0
273,103,0
27,104,1
2,104,1
12,105,1
242,264,1
197,106,0
69,107,1
28,108,1
219,109,1
68,265,1
183,110,0
189,111,0
111,112,0
80,113,1
239,114,0
221,114,0
155,115,0
120,116,1
100,266,1
287,117,0
147,118,1
177,119,1
70,119,1
38,120,0
95,121,1
33,122,1
265,123,1
72,124,1
47,125,0
305,126,1
49,127,0
176,128,0
251,129,0
169,130,1
214,131,1
119,132,0
149,133,0
37,267,0
220,268,1
99,134,1
272,135,1
114,136,0
259,137,1
249,137,1
124,138,1
44,139,1
204,140,1
1,141,1
297,142,0
250,143,0
63,143,0
7,144,1
303,145,0
290,145,0
296,146,1
172,147,0
92,269,1
217,148,0
125,149,0
73,150,0
65,151,1
42,152,0
19,153,0
110,270,0
10,154,1
302,155,0
75,156,1
118,157,0
318,158,0
248,158,0
5,159,1
101,160,1
269,161,0
192,162,0
299,163,0
188,163,0
227,164,0
40,165,1
67,271,0
52,272,0
48,273,1
291,274,0
126,275,0
196,166,0
164,167,0
77,168,0
121,169,1
288,170,1
56,171,1
205,172,0
123,173,0
88,175,0
107,174,0
194,176,0
218,177,0
195,177,0
66,178,1
301,179,0
156,180,0
115,181,1
54,181,1
289,182,1
312,183,0
22,184,1
261,185,0
311,186,0
203,187,0
167,188,0
173,189,0
292,276,0
4,190,1
30,191,0
222,192,0
257,193,1
300,194,0
234,194,0
21,195,1
122,196,1
128,277,1
258,197,0
137,198,0
211,199,0
284,199,0
215,200,0
267,201,0
62,278,1
127,202,0
186,202,0
153,203,0
20,203,0
264,204,1
150,279,1
260,205,0
139,206,0
57,207,0
103,207,0
146,208,1
278,209,0
160,210,0
229,211,1
23,280,1
170,281,1
254,212,0
193,282,1
46,213,1
8,214,0
162,215,0
3,216,1
79,217,0
247,218,1
161,219,1
15,220,1
271,283,1
60,284,1
268,221,0
163,285,1
93,222,1
83,223,1
274,224,1
262,286,1
55,225,0
240,226,1
210,227,0
281,228,0
226,229,0
280,287,1
165,230,0
96,231,1
270,232,1
136,233,0
308,234,0
157,234,0
74,235,1
90,236,0
53,237,0
143,238,0
237,239,1
135,240,0
154,240,0
212,241,0
309,242,1
32,288,1
85,243,1
180,244,0
43,245,0
306,246,0
31,289,1
