ThirdLayer_Inter_factor_1,ThirdLayer_Inter_factor_2,ThirdLayer_Inter_factor_3,ThirdLayer_Inter_factor_4,ThirdLayer_Inter_factor_5,ThirdLayer_Inter_factor_6,ThirdLayer_Inter_factor_7,playerName,U2PostScoreLevel
159,160,123,315,74,20,26,0,0
20,17,287,283,180,258,75,1,1
171,224,272,191,12,286,21,2,0
233,126,93,66,21,33,12,2,0
114,214,44,179,147,143,102,3,0
19,83,68,217,159,100,38,247,1
319,104,67,120,312,3,309,4,1
208,114,160,264,225,273,72,5,1
107,236,55,263,248,196,202,6,0
110,40,78,250,242,122,294,7,0
51,59,103,82,4,295,232,8,0
293,9,203,73,7,15,99,8,0
123,117,172,214,165,118,11,9,0
180,311,258,243,237,287,224,10,1
101,247,114,271,229,182,131,11,0
244,22,314,302,307,267,88,12,0
8,257,95,83,137,145,186,13,1
279,123,72,99,53,60,155,14,1
306,16,214,235,183,55,128,15,1
210,143,276,210,112,139,287,16,1
174,0,292,269,283,315,207,17,1
168,150,66,126,276,4,132,18,0
320,307,159,292,294,103,208,19,1
161,182,224,100,181,46,198,20,1
187,96,196,64,197,106,174,248,1
188,154,298,39,144,293,120,249,1
91,133,47,205,113,213,92,250,1
71,68,46,318,92,43,35,251,1
230,248,120,72,177,318,148,21,0
102,56,42,207,132,52,6,22,0
184,130,232,158,261,59,97,23,0
207,191,116,90,65,243,280,24,0
217,110,227,21,158,54,190,25,1
310,37,255,146,50,97,100,26,0
41,120,199,155,120,239,229,27,0
22,87,138,277,218,190,22,28,0
228,283,295,200,313,242,116,29,0
85,263,269,0,99,164,195,30,0
73,238,174,14,66,44,103,30,0
64,228,149,288,153,148,130,31,1
297,302,181,102,148,36,205,32,0
281,49,260,215,270,297,9,33,1
273,60,284,142,193,285,110,252,0
133,259,207,57,189,211,316,34,0
23,232,121,239,91,40,114,253,1
272,241,164,187,116,274,276,35,1
33,180,211,244,195,240,83,254,1
100,107,217,221,291,191,240,36,0
316,262,13,145,143,304,219,37,1
251,210,254,113,18,57,170,38,0
179,61,104,34,129,179,14,38,0
134,234,51,156,222,252,164,39,0
154,86,165,48,38,22,32,255,0
93,152,221,114,187,69,173,256,0
172,183,137,115,125,155,246,40,0
289,95,34,133,94,178,91,41,0
84,137,293,59,284,30,149,42,1
231,159,309,20,269,13,5,43,1
67,314,56,237,188,314,66,44,0
12,212,213,105,295,175,3,257,1
4,141,194,259,88,134,191,45,0
66,226,216,284,271,306,292,46,1
152,218,243,162,208,184,175,258,0
34,144,188,194,205,169,30,258,0
292,84,305,5,62,14,295,47,1
238,166,308,13,81,53,125,47,1
285,12,25,7,298,39,77,47,1
87,274,310,86,45,172,258,48,1
243,156,265,178,114,159,143,49,0
54,113,63,124,126,158,159,49,0
204,97,10,186,178,263,311,50,0
79,222,197,97,304,257,264,51,1
92,291,209,46,31,220,20,51,1
162,187,234,33,108,163,10,52,0
150,205,58,24,293,225,215,53,1
317,246,307,42,267,135,136,54,0
21,78,69,151,186,123,0,55,1
50,66,275,225,169,168,17,259,0
252,268,100,77,134,236,1,56,0
148,242,170,28,240,82,112,57,0
141,194,110,241,292,210,156,58,0
189,245,61,197,77,25,34,59,1
47,265,112,168,230,215,139,260,0
139,316,256,222,318,204,53,60,0
40,254,132,132,202,91,197,61,0
38,162,45,116,149,2,271,62,0
98,116,50,274,124,110,109,63,1
75,132,53,289,122,229,237,64,0
63,260,201,131,24,154,290,65,1
90,298,302,37,300,320,122,66,0
142,53,12,233,85,96,98,67,0
103,171,111,134,236,208,192,68,0
185,266,40,293,253,303,223,69,1
127,115,30,278,215,185,108,70,0
235,35,32,296,54,161,29,70,0
140,318,317,88,72,56,68,71,0
240,101,36,109,179,232,228,72,1
106,288,161,40,259,98,42,261,0
70,196,222,119,87,50,63,73,0
11,167,87,25,254,302,194,74,0
137,189,126,130,69,37,127,75,0
221,230,151,79,319,271,262,76,1
112,296,41,12,227,253,147,76,1
245,289,29,291,223,24,213,262,1
257,19,139,180,161,272,305,77,0
258,131,271,184,150,246,272,78,1
268,36,1,11,8,23,259,79,1
302,176,242,220,251,278,54,80,1
296,175,129,136,93,42,220,81,0
202,250,101,139,83,235,157,81,0
25,163,274,6,263,309,286,82,1
214,102,244,22,196,290,206,82,1
135,198,192,36,224,111,265,83,1
312,85,277,84,102,137,96,84,0
94,221,108,96,115,209,250,85,0
176,29,282,41,73,150,275,86,1
248,74,71,141,10,38,288,263,0
177,264,153,29,234,79,31,87,0
129,88,264,137,13,281,239,88,0
237,129,237,303,95,41,217,89,0
10,57,131,69,55,202,55,90,1
225,272,74,60,317,1,227,91,0
178,231,144,67,275,9,69,91,0
15,285,303,298,28,230,252,92,1
294,91,270,118,29,177,51,93,0
288,122,14,270,80,162,8,94,0
196,277,94,254,287,151,135,95,1
308,125,249,62,146,81,52,96,0
65,158,59,232,51,291,222,97,0
242,47,316,112,213,205,187,98,0
262,173,183,258,27,8,285,99,1
181,310,152,204,5,308,278,100,0
219,80,187,316,206,219,142,101,1
287,127,155,164,249,224,245,102,0
49,108,173,265,111,305,94,103,0
130,219,220,319,239,189,254,104,1
266,243,143,49,104,73,65,104,1
275,148,320,192,297,277,61,105,1
298,23,22,154,262,217,19,264,1
128,211,97,18,23,71,129,106,0
236,54,294,4,257,226,212,107,1
0,306,2,127,151,6,315,108,1
95,161,141,295,250,108,303,109,1
52,72,83,128,30,152,162,265,1
158,273,231,129,17,18,18,110,0
7,67,208,172,101,86,233,111,0
9,65,171,282,162,102,124,112,0
206,184,239,249,166,245,137,113,1
105,300,223,181,157,68,144,114,0
99,32,80,94,184,193,111,114,0
165,301,169,261,141,93,121,115,0
74,145,236,10,142,200,267,116,1
274,315,4,257,117,32,81,266,1
120,3,191,267,52,19,185,117,0
220,223,91,68,107,186,48,118,1
5,295,176,3,20,28,257,119,1
111,39,299,203,306,165,158,119,1
116,42,278,201,200,218,203,120,0
24,55,230,280,39,34,183,121,1
286,227,182,236,119,47,138,122,1
199,5,253,53,198,266,74,123,1
37,7,315,212,305,316,249,124,1
69,89,179,227,226,171,85,125,0
14,10,18,140,138,319,27,126,1
163,253,86,169,174,207,153,127,0
118,149,31,81,221,130,62,128,0
124,26,133,150,311,256,261,129,0
255,118,263,196,14,89,282,130,1
305,209,233,228,26,234,310,131,1
151,140,279,230,212,283,45,132,0
