FirstLayer_task_speed_factor_1,FirstLayer_task_speed_factor_2,FirstLayer_task_speed_factor_3,FirstLayer_task_speed_factor_4,FirstLayer_task_speed_factor_5,FirstLayer_task_speed_factor_6,FirstLayer_task_speed_factor_7,FirstLayer_task_share_factor_1,FirstLayer_task_share_factor_2,FirstLayer_task_share_factor_3,FirstLayer_task_share_factor_4,FirstLayer_task_share_factor_5,playerName,POSTU5,FirstLayer_arg_freq_factor_1,FirstLayer_arg_speed_factor_1,FirstLayer_arg_share_factor_1,FirstLayer_hotkey_freq_factor_1,FirstLayer_hotkey_speed_factor_1,FirstLayer_hotkey_share_factor_1,FirstLayer_dialogue_freq_factor_1,FirstLayer_dialogue_freq_factor_2,FirstLayer_dialogue_freq_factor_3,FirstLayer_dialogue_freq_factor_4,FirstLayer_dialogue_freq_factor_5,FirstLayer_dialogue_freq_factor_6,FirstLayer_dialogue_freq_factor_7,FirstLayer_dialogue_freq_factor_8,FirstLayer_dialogue_freq_factor_9,FirstLayer_dialogue_freq_factor_10,FirstLayer_dialogue_freq_factor_11,FirstLayer_dialogue_freq_factor_12,FirstLayer_dialogue_freq_factor_13,FirstLayer_dialogue_freq_factor_14,FirstLayer_dialogue_freq_factor_15,FirstLayer_dialogue_freq_factor_16,FirstLayer_dialogue_freq_factor_17,FirstLayer_dialogue_freq_factor_18,FirstLayer_dialogue_freq_factor_19,FirstLayer_dialogue_freq_factor_20,FirstLayer_dialogue_share_factor_1,FirstLayer_dialogue_share_factor_2,FirstLayer_dialogue_share_factor_3,FirstLayer_dialogue_share_factor_4,FirstLayer_dialogue_share_factor_5,FirstLayer_dialogue_share_factor_6,FirstLayer_dialogue_share_factor_7,FirstLayer_dialogue_share_factor_8,FirstLayer_dialogue_share_factor_9,FirstLayer_dialogue_share_factor_10,FirstLayer_dialogue_share_factor_11,FirstLayer_dialogue_share_factor_12,FirstLayer_dialogue_share_factor_13,FirstLayer_dialogue_share_factor_14,FirstLayer_dialogue_share_factor_15,FirstLayer_dialogue_share_factor_16,FirstLayer_dialogue_share_factor_17,FirstLayer_dialogue_speed_factor_1,FirstLayer_dialogue_speed_factor_2,FirstLayer_dialogue_speed_factor_3,FirstLayer_dialogue_speed_factor_4,FirstLayer_dialogue_speed_factor_5,FirstLayer_dialogue_speed_factor_6,FirstLayer_dialogue_speed_factor_7,FirstLayer_dialogue_speed_factor_8,FirstLayer_dialogue_speed_factor_9,FirstLayer_dialogue_speed_factor_10,FirstLayer_dialogue_speed_factor_11,FirstLayer_dialogue_speed_factor_12,FirstLayer_dialogue_speed_factor_13,FirstLayer_dialogue_speed_factor_14,FirstLayer_dialogue_speed_factor_15,FirstLayer_dialogue_speed_factor_16,FirstLayer_dialogue_speed_factor_17,FirstLayer_dialogue_speed_factor_18,FirstLayer_dialogue_speed_factor_19,FirstLayer_dialogue_speed_factor_20,FirstLayer_dialogue_speed_factor_21,SecondLayer_dialogue_inter_factor_1,SecondLayer_dialogue_inter_factor_2,SecondLayer_dialogue_inter_factor_3,SecondLayer_dialogue_inter_factor_4,SecondLayer_dialogue_inter_factor_5,SecondLayer_dialogue_inter_factor_6,SecondLayer_dialogue_inter_factor_7,SecondLayer_dialogue_inter_factor_8,SecondLayer_dialogue_inter_factor_9,SecondLayer_dialogue_inter_factor_10,SecondLayer_dialogue_inter_factor_11,SecondLayer_dialogue_inter_factor_12,SecondLayer_dialogue_inter_factor_13,FirstLayer_behaviorType_freq_factor_1,FirstLayer_behaviorType_freq_factor_2,FirstLayer_behaviorType_share_factor_1,FirstLayer_behaviorType_share_factor_2,FirstLayer_behaviorType_share_factor_3,FirstLayer_behaviorType_speed_factor_1,FirstLayer_behaviorType_speed_factor_2,FirstLayer_behaviorType_speed_factor_3,FirstLayer_map_share_size_factor_1,FirstLayer_map_share_duration_factor_1,FirstLayer_map_duration_factor_1,FirstLayer_map_share_size_factor_2,FirstLayer_itemInter_freq_factor_1,FirstLayer_itemInter_freq_factor_2,FirstLayer_itemInter_freq_factor_3,FirstLayer_itemInter_freq_factor_4,FirstLayer_itemInter_freq_factor_5,FirstLayer_itemInter_speed_factor_1,FirstLayer_itemInter_speed_factor_2,FirstLayer_itemInter_speed_factor_3,FirstLayer_itemInter_speed_factor_4,FirstLayer_itemInter_share_factor_1,FirstLayer_itemInter_share_factor_2,FirstLayer_tool_freq_factor_1,FirstLayer_tool_freq_factor_2,FirstLayer_tool_speed_factor_1,FirstLayer_tool_speed_factor_2,convinceBillScore,firstSetUpScore,secondSetUpScore,thirdSetUpScore,forthSetUpScore,PREU5,ThirdLayer_inter_factor_1,ThirdLayer_inter_factor_2,ThirdLayer_inter_factor_3,ThirdLayer_inter_factor_4,ThirdLayer_inter_factor_5,ThirdLayer_inter_factor_6,ThirdLayer_inter_factor_7,ThirdLayer_inter_factor_8,ThirdLayer_inter_factor_9,ThirdLayer_inter_factor_10,ThirdLayer_inter_factor_11,ThirdLayer_inter_factor_12,ThirdLayer_inter_factor_13,ThirdLayer_inter_factor_14,ThirdLayer_inter_factor_15,ThirdLayer_inter_factor_16,ThirdLayer_inter_factor_17,ThirdLayer_inter_factor_18,ThirdLayer_inter_factor_19,ThirdLayer_inter_factor_20,ThirdLayer_inter_factor_21,ThirdLayer_inter_factor_22,SecondLayer_task_inter_factor_1,SecondLayer_task_inter_factor_2,SecondLayer_task_inter_factor_3,SecondLayer_arg_inter_factor_1,SecondLayer_hotkey_inter_factor_1,SecondLayer_behaviorType_inter_factor_1,SecondLayer_behaviorType_inter_factor_2,SecondLayer_mapExp_inter_factor_1,SecondLayer_tool_inter_factor_1,SecondLayer_tool_inter_factor_2,SecondLayer_dialogue_inter_factor_14,SecondLayer_dialogue_inter_factor_15,SecondLayer_dialogue_inter_factor_16,SecondLayer_dialogue_inter_factor_17,SecondLayer_task_inter_factor_4,SecondLayer_item_inter_factor_1,SecondLayer_item_inter_factor_2,SecondLayer_item_inter_factor_3,SecondLayer_item_inter_factor_4
0.069641859,0.012692539,-0.008193058,0.018487179,-0.049095513,0.018187024,-0.026144078,0.081202306,-0.002376836,0.022234225,-0.001454134,0.058317021,1,High,0.866546039,-0.441538639,0,-0.02407555,-0.012097996,0.004289251,1.643853995,-0.990721983,-1.008288979,-1.051551361,0.734831821,0.737410286,-0.700233086,-2.05336984,-0.349988079,-0.113263247,3.469123923,-1.93853414,2.875242247,-0.08780396,-1.547765745,-0.545196086,0.018939032,-0.004333007,0.538271407,-1.260987226,0.38093788,0.531134188,-0.181078084,3.126200558,-0.382615235,2.913501436,-1.050010364,-1.282943237,3.581909261,1.592271755,1.987280114,-0.095650698,0.560986249,2.02563407,0.819930724,0.945265591,-0.057621865,-0.755565062,-0.340792136,-0.494738837,-0.202876241,-1.772011376,2.417082079,-2.147173781,-0.830192857,1.283355753,-0.499940048,0.644857274,0.399252093,-1.399553166,-0.407086268,0.000436586,-1.948652245,-0.108508102,-0.168551488,-1.649423721,-1.383298891,-0.665665413,0.132459439,0.592392983,1.524301848,0.50321657,-1.161421355,0.191069226,0.028647997,1.009387501,-0.013809996,-0.213688153,0.558461325,-0.097422442,0.047924886,0.718161029,-0.227106913,0.129947916,0.419755165,-0.135738312,-0.181448554,-0.307389761,0.136557693,Small,Small,Small,Small,2.797639169,-0.406795111,0.231120137,1.553322874,5.406611917,3.28895712,-1.148176679,-0.138931527,0.797354609,-0.501246818,0.711654345,0.313893477,0.235582461,-0.665048935,-1.229372685,High,High,High,High,High,High,0.111492189,2.027221166,2.144898818,-0.483948223,0.76083342,-0.744923998,1.00191487,-0.419172126,2.062150047,-1.510853493,-0.306901285,-0.704935113,2.294228398,-1.313260421,3.472730877,0.790916131,0.626477221,-0.900414696,0.012289682,-0.389289036,-0.097312955,1.335417221,0.156574446,1.953609204,2.862497788,1.812924199,1.118302139,1.643535051,-1.937106044,0.266946954,-1.053232935,0.734443371,-3.96889677,1.081290917,-0.627286832,-1.516444447,-1.323339746,-0.167253317,-1.38745191,-0.041000879,-0.367762522
-0.031903133,0.015095973,0.000520048,0.038213637,0.069620175,-0.109844695,-0.011274894,-0.032909323,-0.048194362,0.02354143,0.020734798,-0.011635114,2,High,0,-1.593511705,1.709656229,-0.013509523,0.00738919,0.008405748,2.899688908,0.280909727,0.908609141,0.051291006,-1.247480098,0.797476166,-0.235722596,-0.362621288,-0.846665796,-0.026536255,0.778163354,0.949886116,0.775324456,0.648941749,0.767491919,0.703337739,-1.049627861,-0.716994771,0.430419997,0.570551533,-0.333858003,-0.687727279,0.796046901,2.463865619,-2.049262826,2.177589584,-0.102778124,0.631228222,-1.469586944,0.355305818,-0.327879125,1.146126832,1.338189693,1.247502462,0.957361188,0.220184674,0.15737366,-1.502743602,0.069620429,-0.698384488,-0.940392788,-0.632373357,-0.182080575,0.06972291,0.326540625,0.370703893,0.749837643,0.195032221,-0.4970529,1.349507817,-1.178777526,-0.36674097,-0.144500805,1.51224229,1.255962559,0.994402192,-0.629155605,0.01667168,0.998776992,0.233674062,0.226576083,1.233279776,-0.057001533,0.285088864,-0.367992114,-0.421604903,0.035523881,0.476267939,-0.36880749,0.009584609,0.134504126,-0.569004277,0.235651461,0.132424268,0.332846532,-0.138336339,-0.677932126,-0.16286929,0.019227425,Small,Large,Small,Small,15.5864428,-6.601932631,1.121319313,6.607651552,16.70981116,9.502455416,0.236816293,-2.923367261,-0.136948668,2.785062861,0.562003054,0.979251006,-2.109762074,-0.563679283,0.83827133,High,Low,High,High,High,High,2.561340202,1.491191697,-1.825111077,-0.364970727,0.445938976,1.860866671,1.207927136,-1.178532846,0.425993352,1.264556612,-2.18109844,0.03451446,-0.189368441,0.06753733,-3.129237404,-1.073092337,-0.914926465,-1.299443191,2.620922725,0.23755432,-1.298697546,-1.825957891,-0.445225247,-0.983218086,-1.13925021,-3.050625516,1.084411945,-3.399716712,2.036216702,1.572730028,0.282682823,0.952994423,1.03903133,-2.011492347,2.439430118,-2.674080508,0.006054554,-0.210239179,2.865537258,-1.36267732,-0.568565814
0.048928752,-0.033051312,0.014035963,-0.003707969,-0.200098662,0.044870544,0.006062595,-0.025807937,-0.024243808,0.017205262,0.094605069,-0.025181565,3,Low,-2.561870006,0,1.101498804,0.003502078,0.054926393,0.098564635,2.004323977,-1.181272159,-1.112238564,0.171451382,0.531597087,0.354880251,2.555486809,0.318695041,-2.274832616,0.008106683,-0.044610981,-0.81559109,-1.164562138,-0.652390606,-0.764902672,-0.357302871,0.355694443,0.744412705,-0.645763871,0.048995455,-0.422937386,-0.554788538,0.301222677,-5.910087529,-1.345242379,-1.037137937,-0.544020698,0.20557759,0.713090275,0.104370913,1.950192072,0.950169455,1.545608708,-1.156751693,-0.618400465,-0.428858021,-1.543053187,1.280131507,-1.308331128,-1.20402909,0.775415467,0.566093935,0.055147194,-0.135953685,-1.638777633,-0.998610547,0.141127558,0.927696504,1.197580609,0.174646216,-0.507952139,-0.442612011,-0.034901635,0.116184884,0.289815334,-1.301644546,-0.695498361,0.205393391,-0.270037933,-0.035146199,-0.659928787,0.115866444,-0.242897408,-0.323453688,-0.001322321,0.129974727,-0.893535431,-0.305211788,-0.244022255,-0.449725461,0.364939495,0.915830273,0.0399282,-0.282586205,-0.191480637,0.169002699,0.037480759,-0.024157439,-0.052153817,Small,Large,Small,Large,-2.281323923,4.771817069,0.008297405,0.864639661,-0.111150075,-0.24505833,1.206027216,-0.455204091,-1.048030531,1.126146979,0.105305364,-0.351464052,-0.6255484,-0.457002555,0.156598768,High,High,High,High,High,Low,-1.515704748,0.74572664,-1.298424928,-0.119026063,1.143712697,-0.516791983,-0.057422074,0.856981216,0.205875605,-0.492833219,1.30628073,1.528760753,0.795716947,1.70809131,-0.077443248,0.281919858,-0.42531159,1.524761763,-0.027716289,0.203967073,-0.19339902,0.39259641,1.134942267,0.452828997,0.749042944,0.446066853,-0.570750728,-1.355561427,0.280389016,-0.85000425,-1.486029408,-0.211410002,-0.660263454,-0.360141672,-1.812031472,0.378439685,-2.104189859,0.493422122,0.683211946,-0.055726249,0.577870706
-0.048512617,0.02743299,0.038542159,0.007813013,0.006993678,0.017745525,-0.043306612,0.085517768,0.020891307,-0.010212853,0.026222944,-0.044288253,4,Low,0,-1.511578108,-2.14388083,0.044162578,0.023875753,0.299939001,4.621668125,-0.999732094,0.005195128,1.127054952,0.357716075,-0.39443916,-0.417562259,-0.862235992,1.07311129,2.107723939,-3.31041526,-1.559430369,-0.102360822,0.745773168,-1.127051975,-0.776132254,0.498033403,-0.626379401,-0.538242058,-1.098459292,-0.978846323,-0.598410952,0.183923227,-1.392084624,0.492358745,-0.189751849,0.377199595,-1.542938386,-0.198033176,-2.0098426,2.995846004,-1.264125598,-1.049961917,-0.048006095,-0.054074115,-0.568428901,-0.190233067,0.807460815,-0.244067262,1.548297554,-0.263364009,-0.310314755,0.92595959,1.754328931,-0.46559574,0.741398752,-0.685161924,0.964523946,0.420048924,-0.090669813,0.797181331,1.310324246,-0.030718718,0.853422454,1.330093528,0.454532856,-1.080701419,-0.250359613,-1.039984431,-0.21951507,0.469772904,0.149332023,-0.525274052,-0.672631811,-0.088209322,0.721683329,0.134905944,0.824712769,0.739674569,0.739506463,0.086959719,0.721269677,0.260159896,-0.511189557,-0.35087727,0.064064442,-0.06394658,-0.161030579,0.105954786,Small,Small,Small,Large,5.031332301,3.279233431,0.481991061,0.314822613,-1.869363491,-1.442542569,3.156168264,1.337350003,0.566293305,-3.208502234,-0.814996372,-3.678251696,-3.878799079,0.176168835,0.601683932,High,High,High,High,High,High,0.700800051,-0.049161115,-0.472134018,0.494960088,-0.288745756,0.479266508,-2.891600634,-2.594930233,-0.436915302,-3.501450872,1.773604931,2.424761046,-0.026031251,1.928818697,0.786675109,-0.204080973,5.002706121,3.618049077,1.779831132,0.739464827,-1.044954659,0.433949755,-0.018650449,1.524906319,0.653276956,-2.161500029,-0.187456408,-1.139213889,-0.382667946,3.832253014,-1.322301993,-0.171577334,-1.943433409,-1.605666548,0.93800381,-0.576386201,-1.431580676,1.264402464,0.806178565,0.557303585,-0.771522279
-0.008424338,0.017548879,0.004937634,-0.002079877,-0.003793927,-0.00416333,-0.001535216,-0.104489667,-0.008854068,0.042055733,0.016057694,-0.035834913,5,High,0,-2.273126224,1.732275173,-0.021494754,-0.012404933,-0.009145389,1.816488507,-1.73501917,-1.321021442,0.219974724,-0.269992634,0.193438056,-0.735432089,0.310212074,-0.946636835,0.33927601,0.222226441,-0.136303605,0.11535643,0.363289531,0.955007423,0.683134929,-1.217584527,0.151209563,-0.179987002,0.237790943,-0.373050715,-0.498031491,0.113184053,-1.231116658,-2.174803914,-0.18745999,-2.01400551,0.718585603,0.943493149,-1.161451259,0.467736747,0.483525422,0.449900182,-0.217325844,-0.463321187,1.343490668,-1.54308935,-1.428923439,1.095063822,0.514641098,1.038660634,-1.118166159,1.064619081,1.362318463,-0.347772451,0.335923365,0.396543925,-0.859517822,0.376915567,-0.447764484,-0.606508254,-1.066099324,1.268355595,0.079133296,-0.128221704,0.757370865,1.211454578,-0.912324688,0.446012545,0.218218253,-0.752755413,0.658279079,-1.16934291,-0.882471989,0.179939624,0.408965606,0.372169709,0.235876154,-0.034695882,0.052605311,-0.609176053,-0.442511692,-0.11955258,0.535811409,-0.513035614,0.01761679,0.404346396,0.167959661,0.043496005,Small,Small,Large,Large,-2.600457421,4.871897104,0.168699086,1.94282726,0.111404745,-1.514121849,0.611673256,2.489302133,0.186694752,-0.507970449,-0.113967275,0.979251006,-1.10176987,-0.993115537,0.237007916,High,Low,High,High,High,High,-1.816818987,-0.458051861,-2.288132648,-0.00590329,0.088289815,1.590467778,0.947117006,-1.842765446,-0.949274535,0.721831611,-1.25993981,0.238343895,0.059779098,-0.757147664,-2.323172459,1.019413793,0.10214859,1.338178561,-0.290053683,0.197327761,-0.051475934,-2.842795056,0.955353228,-0.945877019,0.388124245,-2.133217607,0.725125291,-1.315573972,1.736684572,0.557677613,0.06885869,-0.83638636,2.032239349,-2.602907845,2.567940678,-0.79380771,-0.527853397,0.127694192,2.886954474,-1.264507617,-0.958315592
0.058470184,-0.087570924,0.183744079,0.017480054,0.021480803,0.049289139,-0.065986682,0.01681014,0.012355013,-0.0105757,-0.02195252,-0.044218715,6,High,0,-2.136411343,1.939382308,0.003037366,-0.014442552,-0.019255586,2.042368464,-1.19648494,-0.843829199,-0.298324667,1.468994527,0.021995219,0.079226712,-0.081407882,0.282463644,-0.249095108,-0.351063619,-0.117993307,-0.725260763,0.798724026,-0.07643946,1.350238671,0.524707319,0.640488174,0.984265654,0.351780084,0.503445208,-0.742072407,-0.205565636,-0.706978626,-1.052105471,1.495641829,-0.305158402,0.437220639,-1.746261742,-0.744812011,1.246101298,0.435368825,-1.473736869,0.514892984,-1.092458374,0.712410726,1.666592692,2.546435629,-0.893948765,-1.548071923,1.042836261,0.450734193,1.974821044,-0.722474752,0.442589825,0.466104964,2.417742184,-0.29131418,0.809407873,-0.772054057,0.201455293,0.529418007,-1.087553022,0.476834457,0.813706081,-1.137292581,0.819572264,1.231614656,-0.101252227,-0.481105396,-0.153824411,0.246645766,0.575115131,-0.938767057,-0.108776771,-0.136465696,-0.461638498,0.095646568,-0.833450373,-0.19428728,-0.767339107,-0.376185932,0.409640969,-0.582335638,0.418121977,0.064527838,0.204590535,-0.456654714,0.057216254,Small,Small,Small,Small,1.54441664,2.013619587,0.365682148,3.103801487,5.759986769,3.243404445,-0.889314487,0.760117847,0.392008546,0.183890504,0.398863493,0.979251006,-1.149148173,1.326546412,1.3722644,High,High,High,High,High,High,-0.233749207,2.148344223,4.360884209,-1.049873002,2.496557363,-1.948422341,-1.061888399,2.985805942,0.547915498,-0.686817012,2.985728087,-2.66413178,-1.9411776,-1.485833511,4.334691196,2.331588691,-1.782365183,0.385268536,-0.094107797,2.104817744,2.654299968,2.19676322,-0.208712266,0.724890692,2.282156244,4.837696957,-0.671958364,2.784404296,-1.148331106,-3.353663232,1.267640449,0.783128579,-0.662772886,2.523074543,-1.886067036,1.334913392,1.246294032,0.133008533,-1.135079201,4.121186732,0.718038648
-0.011031553,0.029841218,0.020326683,0.002827925,0.052267937,-0.00869216,-0.020871999,-0.087894031,0.003677435,-0.020815576,0.018016825,-0.073766984,7,High,-3.397276418,0,1.932959848,-0.010754902,0.024072521,-0.002406342,1.964742509,-1.312994486,-0.331797278,-0.10667426,-0.812598875,0.38028585,1.059186104,1.32413381,1.595546676,0.101908887,1.060427443,0.237282772,0.254657413,0.564122253,0.973382785,-0.464922436,0.15753107,-0.388691592,-0.048830133,-0.048729262,-0.382917063,-0.139690547,0.31447685,-1.192394724,0.022018475,-0.065174721,-2.556285076,2.008566229,-1.780380661,2.741521098,0.560055687,-0.755871695,-1.272335354,0.23236037,-2.237493747,-0.58653253,0.023475115,-1.171850999,0.029610144,-0.403926383,-0.435498349,0.218441754,0.666760436,0.216777559,1.550960722,0.030676544,0.891727539,-1.073382886,0.622599135,1.752316782,-0.744738238,-0.657526482,-1.352471266,0.472654454,-0.988982603,0.34117482,-0.678795117,-0.829586747,-0.720393177,0.565411353,-0.782057879,-1.094960047,-1.102510882,-1.187420796,0.350968963,0.134042574,0.529927114,0.019466329,-0.44209765,-1.094575315,-0.120883683,-0.558149254,0.168478355,0.027258387,-0.437347474,-0.174462293,0.647891222,-0.031262403,-0.12536806,Small,Large,Small,Large,-3.032309942,4.648948827,-0.053688606,-0.588266833,-0.526197126,0.127172067,-0.568713628,-0.184071182,-0.686654854,0.660229764,1.877445292,0.979251006,-2.445759475,-0.375800923,1.101324073,High,High,High,High,High,Low,-0.534835713,1.344088764,1.203001144,-1.083775968,0.778282849,0.849996338,0.667789517,-0.085268103,-1.513252765,-5.548049397,0.902007992,-0.212414735,-0.465037247,0.457745721,-0.070639792,-0.584926814,2.709714732,0.77804963,1.458193154,2.000196487,-1.319120601,2.161945496,0.839582657,1.619847268,1.117808494,1.100821555,-1.524354386,-0.872939738,0.153332379,0.246263389,0.096457887,-0.745421978,-1.628226241,0.344644884,0.705058407,-0.477802301,-2.433594782,-0.58163484,1.421775849,1.154272774,0.447927934
0.077500783,0.001130836,-0.066446955,0.017818228,-0.036747359,0.013936032,-0.021239911,0.078584085,-0.010341846,0.014475994,-0.002084212,0.014382764,8,Low,3.257331389,1.137906608,0,-0.017108262,-0.017723871,-0.009192447,2.082433712,-0.93806441,-1.275033801,0.758572069,1.51610267,0.261482694,-0.12324762,-0.003582149,0.200301208,-0.130260293,-0.469768927,-0.054322153,-0.429137271,0.913972428,0.139873931,1.614896296,0.615277435,0.778637582,0.786450073,0.093714723,0.826300021,-0.375726667,0.211657089,1.700071861,-0.751774732,1.045049089,0.199108787,-1.658063767,-0.1987376,-0.209162392,-0.413954228,0.44055117,-0.490194045,-0.471300568,0.686357758,-0.915912642,-0.387731789,-1.2405696,-0.737609657,-0.455621304,0.020969831,0.814485109,-0.194064574,-1.201516296,1.094932233,0.217957155,0.083052584,-0.483237205,-0.033362818,-0.303981029,-0.906316625,0.068607214,0.059077761,1.336149269,0.671874035,0.374277205,0.794142487,1.161713592,-0.525306045,0.164145752,0.583849141,-0.593997306,0.257625962,-0.961159959,0.597377911,0.53235719,-0.061265636,0.077051873,0.244709833,-0.341192176,-0.203606019,-0.177891297,-0.714141814,-0.517589278,0.127643215,0.058968402,-0.351221915,-0.138609183,0.022925913,Small,Small,Small,Small,-1.035423264,4.480167874,0.307398573,2.326238971,1.436728287,0.582768219,-1.063853497,1.267872677,0.379894459,-1.102282708,1.956714339,0.646572242,1.216883291,0.076893864,1.32131059,High,High,High,High,High,Low,-1.552756614,0.495671095,1.816567382,-0.469795668,1.409277621,-0.209408951,-0.754479898,0.591082864,1.451789806,-1.010000789,0.358963635,-1.062329473,-0.54177786,0.303626434,-0.444851302,-0.141907569,0.096556645,-0.856427966,0.814075595,-0.354488431,1.043663325,-0.004569326,-0.46302763,0.543048808,-0.745088671,1.447166205,-0.102340233,1.235345204,-1.353367297,0.288559491,0.452492631,0.662663429,1.094331084,2.028685183,0.424833367,-0.71924159,-0.598543339,-0.287202199,0.371609322,0.708909218,-0.189338676
-0.064367167,0.003549876,0.000916463,0.007069858,-0.003071666,-0.098098076,-0.004411677,-0.052456178,-0.002772737,-0.002243119,-0.064325254,-0.004720745,9,High,-0.498437196,2.357215568,0,-0.019978402,-0.010777186,-0.008613413,4.785558769,-0.364668629,2.027967013,1.297995117,1.074281311,0.111412245,1.216177249,-1.488351107,-0.641939252,-0.802884726,1.576222856,-1.577750399,-0.166230392,-0.656867109,-0.464031194,0.37577606,-0.187763224,-0.760852925,-1.685682565,0.653134812,-0.659458742,-1.061648794,0.251496267,-5.389154415,-0.629555372,-0.332574431,0.771086612,0.345266473,0.77278321,-0.95184708,0.375477895,0.267402845,-0.076469336,-0.782124772,-0.463869379,0.920119154,-0.137155429,-0.580540185,-0.568085373,0.37346776,-0.768678168,-0.803436125,0.437108041,-0.474957311,-0.015846624,2.082411817,-0.553109486,-0.018981932,-0.250440435,0.200516882,0.301881042,-0.147393491,0.034854061,-0.517972633,0.713811467,1.348149809,-0.722684971,-0.022359822,0.055394868,0.968065402,-1.284528921,0.030701435,0.57209314,-0.806043715,0.886450478,0.16572818,0.739252551,0.539203634,0.299109942,-0.10018547,0.574919433,0.535688522,-0.177890469,0.316314201,0.343403928,-0.027659331,0.554459035,0.292435599,-0.033270309,Large,Large,Small,Large,5.346619619,4.047469858,0.702112098,-1.33433353,-0.904744407,-2.131847026,-3.532715007,-2.02279306,1.218778061,1.33842332,0.534296313,0.979251006,0.318969043,-1.208688626,-0.360933329,High,High,Low,Low,High,High,0.45572047,-1.0705425,-1.299435927,-1.283392833,-0.058919488,-1.241233985,0.10666319,1.582180648,-0.82282025,0.703115158,-1.356347061,1.793480981,-0.966579109,-0.57376868,0.090499888,-0.737077446,0.168940838,-1.102659839,-2.197162109,0.478941114,-0.655839438,-0.234210095,-1.510298047,-1.193850381,-0.005194668,0.15650641,-0.767146024,-1.285979174,0.680103758,0.912741162,-1.469452034,-1.572059699,0.358403442,0.48376903,1.167648758,-0.094957248,0.391646679,0.158199028,0.262147769,0.221846079,0.100627944
-0.110831245,0.032990206,0.001839695,-0.009364561,0.023678338,0.08745906,-0.045472928,0.085088096,0.011286624,0.062313886,0.056027604,0.026308428,10,Low,-2.989048348,0,1.683625099,-0.00531037,0.028341387,0.02762445,3.463732649,1.764873003,6.31026648,1.294375719,-0.813074206,0.242852242,-2.226210097,0.131343271,-1.022271402,0.915512647,1.280653367,-0.116627848,-1.340479212,-1.162081004,-1.094872704,0.141481337,0.526184693,1.86777991,-0.166785089,0.758197908,0.16745824,0.537983437,-0.131019987,-1.054615877,-1.212697547,1.937964105,0.658123433,1.262710119,0.485494646,0.582014094,-1.67363913,0.279328963,-0.535054428,-0.118071849,-0.133271146,1.911948004,-0.169828718,0.580252748,0.737998767,-0.108284641,0.209341739,0.033531488,-1.122741902,-0.351849898,-0.640328257,-0.235086307,-0.068912097,-0.122705582,-0.572318967,1.149271596,0.803822969,-0.460742222,0.83222066,1.596703118,0.821114244,-0.607223737,0.721730923,0.448522576,-0.600608742,0.502418073,-0.864166591,0.509149363,-0.098501298,-0.203511508,0.214758358,1.049079825,-0.191864146,1.03732836,0.173612648,-0.517130941,0.748992243,0.906919229,0.014924424,0.172409743,-0.244759182,-0.08916378,-0.122288744,-0.031014179,-0.071860642,Large,Small,Small,Small,14.89458899,-4.57150362,1.128377364,-6.236546838,0.789136909,-6.074662199,-1.108020931,2.838057565,1.61311683,0.575098196,1.142494296,0.979251006,-2.705007569,-0.645053543,0.428224901,High,High,High,High,High,Low,2.374934812,-2.187535633,0.537386533,-0.344480111,0.843705094,0.49791402,0.474367419,0.223836697,0.38457843,-1.546583229,0.267038452,1.371644368,0.891396044,0.442278348,-0.285965047,-0.792441401,1.137329324,0.802150619,2.158670225,0.507706003,1.536238535,-0.59381893,0.963762826,1.425519945,2.432925762,-0.53705808,-1.171240297,-1.13714056,-0.33489543,-0.003377658,-0.80267051,-0.687480856,1.113635949,1.455066357,-0.321766377,1.190133512,-0.006888158,-0.169897959,0.359782821,1.916819194,-0.080065122
