Feature Number,Iteration Number,Resampling Name,Test Accuracy,Macro Precision,Macro Recall,Macro F1,High Precision,High Recall,High F1,Low Precision,Low Recall,Low F1
10,8,adasym,0.862,0.834,0.858,0.844,0.929,0.867,0.897,0.739,0.850,0.791
39,8,adasym,0.846,0.825,0.806,0.814,0.872,0.911,0.891,0.778,0.700,0.737
8,8,InstanceHardness,0.831,0.814,0.864,0.820,0.972,0.778,0.864,0.655,0.950,0.776
9,8,adasym,0.831,0.800,0.822,0.809,0.905,0.844,0.874,0.696,0.800,0.744
11,8,Smote,0.831,0.800,0.808,0.804,0.886,0.867,0.876,0.714,0.750,0.732
25,8,borderline,0.831,0.809,0.781,0.792,0.854,0.911,0.882,0.765,0.650,0.703
26,8,SmoteTomek,0.831,0.820,0.767,0.785,0.840,0.933,0.884,0.800,0.600,0.686
8,8,SmoteENN,0.815,0.802,0.853,0.805,0.971,0.756,0.850,0.633,0.950,0.760
9,8,InstanceHardness,0.815,0.802,0.853,0.805,0.971,0.756,0.850,0.633,0.950,0.760
10,8,borderline,0.815,0.783,0.797,0.789,0.884,0.844,0.864,0.682,0.750,0.714
10,8,SmoteTomek,0.815,0.783,0.797,0.789,0.884,0.844,0.864,0.682,0.750,0.714
10,8,NearestNeighbor,0.815,0.788,0.825,0.798,0.923,0.800,0.857,0.654,0.850,0.739
10,8,NearestNeighborAll,0.815,0.788,0.825,0.798,0.923,0.800,0.857,0.654,0.850,0.739
10,8,NeighborCleaningRule,0.815,0.788,0.825,0.798,0.923,0.800,0.857,0.654,0.850,0.739
10,8,InstanceHardness,0.815,0.802,0.853,0.805,0.971,0.756,0.850,0.633,0.950,0.760
11,8,RandomUnder,0.815,0.785,0.811,0.794,0.902,0.822,0.860,0.667,0.800,0.727
22,8,RandomUnder,0.815,0.783,0.797,0.789,0.884,0.844,0.864,0.682,0.750,0.714
22,8,NearestNeighborMode,0.815,0.850,0.714,0.740,0.800,0.978,0.880,0.900,0.450,0.600
23,8,Smote,0.815,0.787,0.769,0.777,0.851,0.889,0.870,0.722,0.650,0.684
24,8,CondensedNearNeighbor,0.815,0.788,0.825,0.798,0.923,0.800,0.857,0.654,0.850,0.739
26,8,borderline,0.815,0.822,0.728,0.751,0.811,0.956,0.878,0.833,0.500,0.625
26,8,NearestNeighborMode,0.815,0.822,0.728,0.751,0.811,0.956,0.878,0.833,0.500,0.625
27,8,Smote,0.815,0.805,0.742,0.761,0.824,0.933,0.875,0.786,0.550,0.647
32,8,Smote,0.815,0.822,0.728,0.751,0.811,0.956,0.878,0.833,0.500,0.625
32,8,adasym,0.815,0.793,0.756,0.770,0.837,0.911,0.872,0.750,0.600,0.667
44,8,adasym,0.815,0.793,0.756,0.770,0.837,0.911,0.872,0.750,0.600,0.667
6,8,SmoteENN,0.800,0.767,0.786,0.774,0.881,0.822,0.851,0.652,0.750,0.698
7,8,SmoteENN,0.800,0.775,0.814,0.783,0.921,0.778,0.843,0.630,0.850,0.723
8,8,adasym,0.800,0.767,0.786,0.774,0.881,0.822,0.851,0.652,0.750,0.698
8,8,NeighborCleaningRule,0.800,0.770,0.800,0.779,0.900,0.800,0.847,0.640,0.800,0.711
9,8,Smote,0.800,0.766,0.758,0.762,0.848,0.867,0.857,0.684,0.650,0.667
10,8,RandomUnder,0.800,0.767,0.786,0.774,0.881,0.822,0.851,0.652,0.750,0.698
12,8,SmoteENN,0.800,0.775,0.814,0.783,0.921,0.778,0.843,0.630,0.850,0.723
13,8,adasym,0.800,0.767,0.786,0.774,0.881,0.822,0.851,0.652,0.750,0.698
13,8,InstanceHardness,0.800,0.783,0.828,0.787,0.944,0.756,0.840,0.621,0.900,0.735
14,8,clusterCen,0.800,0.770,0.800,0.779,0.900,0.800,0.847,0.640,0.800,0.711
22,8,CondensedNearNeighbor,0.800,0.770,0.800,0.779,0.900,0.800,0.847,0.640,0.800,0.711
22,8,NeighborCleaningRule,0.800,0.777,0.731,0.746,0.820,0.911,0.863,0.733,0.550,0.629
23,5,NearestNeighborMode,0.800,0.770,0.744,0.754,0.833,0.889,0.860,0.706,0.600,0.649
24,8,NearestNeighborMode,0.800,0.837,0.689,0.712,0.786,0.978,0.871,0.889,0.400,0.552
26,8,RandomOver,0.800,0.807,0.703,0.725,0.796,0.956,0.869,0.818,0.450,0.581
27,8,adasym,0.800,0.770,0.744,0.754,0.833,0.889,0.860,0.706,0.600,0.649
27,8,borderline,0.800,0.788,0.717,0.736,0.808,0.933,0.866,0.769,0.500,0.606
30,8,borderline,0.800,0.788,0.717,0.736,0.808,0.933,0.866,0.769,0.500,0.606
31,8,RandomOver,0.800,0.837,0.689,0.712,0.786,0.978,0.871,0.889,0.400,0.552
31,8,Smote,0.800,0.807,0.703,0.725,0.796,0.956,0.869,0.818,0.450,0.581
31,8,adasym,0.800,0.807,0.703,0.725,0.796,0.956,0.869,0.818,0.450,0.581
34,8,Smote,0.800,0.777,0.731,0.746,0.820,0.911,0.863,0.733,0.550,0.629
35,8,Smote,0.800,0.766,0.758,0.762,0.848,0.867,0.857,0.684,0.650,0.667
35,8,adasym,0.800,0.770,0.744,0.754,0.833,0.889,0.860,0.706,0.600,0.649
35,8,borderline,0.800,0.770,0.744,0.754,0.833,0.889,0.860,0.706,0.600,0.649
36,8,borderline,0.800,0.770,0.744,0.754,0.833,0.889,0.860,0.706,0.600,0.649
37,8,adasym,0.800,0.777,0.731,0.746,0.820,0.911,0.863,0.733,0.550,0.629
38,8,Smote,0.800,0.777,0.731,0.746,0.820,0.911,0.863,0.733,0.550,0.629
38,8,borderline,0.800,0.788,0.717,0.736,0.808,0.933,0.866,0.769,0.500,0.606
43,8,borderline,0.800,0.777,0.731,0.746,0.820,0.911,0.863,0.733,0.550,0.629
50,8,adasym,0.800,0.777,0.731,0.746,0.820,0.911,0.863,0.733,0.550,0.629
59,8,borderline,0.800,0.777,0.731,0.746,0.820,0.911,0.863,0.733,0.550,0.629
2,8,clusterCen,0.785,0.748,0.761,0.754,0.860,0.822,0.841,0.636,0.700,0.667
4,5,SmoteENN,0.785,0.756,0.789,0.764,0.897,0.778,0.833,0.615,0.800,0.696
5,5,NearestNeighborMode,0.785,0.747,0.747,0.747,0.844,0.844,0.844,0.650,0.650,0.650
6,5,NearestNeighborMode,0.785,0.748,0.761,0.754,0.860,0.822,0.841,0.636,0.700,0.667
6,8,RandomOver,0.785,0.748,0.733,0.740,0.830,0.867,0.848,0.667,0.600,0.632
6,8,OnesidedSelection,0.785,0.771,0.692,0.710,0.792,0.933,0.857,0.750,0.450,0.563
6,8,InstanceHardness,0.785,0.763,0.803,0.769,0.919,0.756,0.829,0.607,0.850,0.708
7,8,borderline,0.785,0.747,0.747,0.747,0.844,0.844,0.844,0.650,0.650,0.650
7,8,SmoteTomek,0.785,0.748,0.733,0.740,0.830,0.867,0.848,0.667,0.600,0.632
7,8,NearestNeighborMode,0.785,0.748,0.733,0.740,0.830,0.867,0.848,0.667,0.600,0.632
7,14,SmoteN,0.785,0.771,0.692,0.710,0.792,0.933,0.857,0.750,0.450,0.563
8,8,Smote,0.785,0.748,0.733,0.740,0.830,0.867,0.848,0.667,0.600,0.632
8,8,borderline,0.785,0.747,0.747,0.747,0.844,0.844,0.844,0.650,0.650,0.650
9,8,SmoteENN,0.785,0.756,0.789,0.764,0.897,0.778,0.833,0.615,0.800,0.696
9,8,NearestNeighbor,0.785,0.756,0.789,0.764,0.897,0.778,0.833,0.615,0.800,0.696
9,8,NearestNeighborAll,0.785,0.756,0.789,0.764,0.897,0.778,0.833,0.615,0.800,0.696
9,8,NeighborCleaningRule,0.785,0.748,0.761,0.754,0.860,0.822,0.841,0.636,0.700,0.667
10,5,CondensedNearNeighbor,0.785,0.748,0.761,0.754,0.860,0.822,0.841,0.636,0.700,0.667
10,8,SmoteENN,0.785,0.756,0.789,0.764,0.897,0.778,0.833,0.615,0.800,0.696
11,8,adasym,0.785,0.752,0.775,0.760,0.878,0.800,0.837,0.625,0.750,0.682
11,8,SmoteENN,0.785,0.771,0.817,0.773,0.943,0.733,0.825,0.600,0.900,0.720
11,8,SmoteTomek,0.785,0.747,0.747,0.747,0.844,0.844,0.844,0.650,0.650,0.650
11,8,CondensedNearNeighbor,0.785,0.763,0.803,0.769,0.919,0.756,0.829,0.607,0.850,0.708
11,8,NeighborCleaningRule,0.785,0.747,0.747,0.747,0.844,0.844,0.844,0.650,0.650,0.650
11,8,InstanceHardness,0.785,0.771,0.817,0.773,0.943,0.733,0.825,0.600,0.900,0.720
12,5,RandomOver,0.785,0.747,0.747,0.747,0.844,0.844,0.844,0.650,0.650,0.650
12,8,adasym,0.785,0.748,0.761,0.754,0.860,0.822,0.841,0.636,0.700,0.667
12,8,SmoteTomek,0.785,0.747,0.747,0.747,0.844,0.844,0.844,0.650,0.650,0.650
12,8,RandomUnder,0.785,0.756,0.789,0.764,0.897,0.778,0.833,0.615,0.800,0.696
13,8,SmoteENN,0.785,0.756,0.789,0.764,0.897,0.778,0.833,0.615,0.800,0.696
13,8,SmoteTomek,0.785,0.747,0.747,0.747,0.844,0.844,0.844,0.650,0.650,0.650
13,11,RandomOver,0.785,0.759,0.706,0.721,0.804,0.911,0.854,0.714,0.500,0.588
14,8,SmoteTomek,0.785,0.748,0.761,0.754,0.860,0.822,0.841,0.636,0.700,0.667
15,8,Smote,0.785,0.748,0.733,0.740,0.830,0.867,0.848,0.667,0.600,0.632
15,8,adasym,0.785,0.748,0.761,0.754,0.860,0.822,0.841,0.636,0.700,0.667
15,8,SmoteTomek,0.785,0.748,0.733,0.740,0.830,0.867,0.848,0.667,0.600,0.632
15,8,RandomUnder,0.785,0.752,0.775,0.760,0.878,0.800,0.837,0.625,0.750,0.682
15,8,InstanceHardness,0.785,0.771,0.817,0.773,0.943,0.733,0.825,0.600,0.900,0.720
16,8,borderline,0.785,0.748,0.733,0.740,0.830,0.867,0.848,0.667,0.600,0.632
16,8,CondensedNearNeighbor,0.785,0.756,0.789,0.764,0.897,0.778,0.833,0.615,0.800,0.696
16,8,InstanceHardness,0.785,0.782,0.831,0.776,0.970,0.711,0.821,0.594,0.950,0.731
17,8,borderline,0.785,0.747,0.747,0.747,0.844,0.844,0.844,0.650,0.650,0.650
17,8,SmoteTomek,0.785,0.747,0.747,0.747,0.844,0.844,0.844,0.650,0.650,0.650
