Feature Number,Iteration Number,Resampling Name,Test Accuracy,Macro Precision,Macro Recall,Macro F1,High Precision,High Recall,High F1,Low Precision,Low Recall,Low F1
30,2,allKNN,0.871,0.869,0.872,0.870,0.900,0.865,0.882,0.837,0.878,0.857
27,2,NearestNeighborMode,0.860,0.859,0.857,0.858,0.868,0.885,0.876,0.850,0.829,0.840
28,2,NearMiss,0.860,0.859,0.857,0.858,0.868,0.885,0.876,0.850,0.829,0.840
42,12,RandomUnderReSam,0.860,0.858,0.860,0.859,0.882,0.865,0.874,0.833,0.854,0.843
47,2,SmoteENN,0.860,0.859,0.857,0.858,0.868,0.885,0.876,0.850,0.829,0.840
52,12,clusterCen,0.860,0.858,0.862,0.859,0.898,0.846,0.871,0.818,0.878,0.847
55,12,Smote,0.860,0.858,0.860,0.859,0.882,0.865,0.874,0.833,0.854,0.843
63,2,NearMiss,0.860,0.871,0.849,0.855,0.831,0.942,0.883,0.912,0.756,0.827
70,2,allKNN,0.860,0.863,0.867,0.860,0.933,0.808,0.866,0.792,0.927,0.854
22,12,borderline,0.849,0.847,0.847,0.847,0.865,0.865,0.865,0.829,0.829,0.829
24,2,SmoteTomek,0.849,0.847,0.847,0.847,0.865,0.865,0.865,0.829,0.829,0.829
26,2,NearestNeighborMode,0.849,0.847,0.847,0.847,0.865,0.865,0.865,0.829,0.829,0.829
27,2,adasym,0.849,0.857,0.840,0.844,0.828,0.923,0.873,0.886,0.756,0.816
27,2,allKNN,0.849,0.848,0.852,0.849,0.896,0.827,0.860,0.800,0.878,0.837
28,2,adasym,0.849,0.857,0.840,0.844,0.828,0.923,0.873,0.886,0.756,0.816
28,2,borderline,0.849,0.849,0.845,0.846,0.852,0.885,0.868,0.846,0.805,0.825
28,2,RandomUnderReSam,0.849,0.848,0.852,0.849,0.896,0.827,0.860,0.800,0.878,0.837
31,2,allKNN,0.849,0.848,0.852,0.849,0.896,0.827,0.860,0.800,0.878,0.837
32,2,NearestNeighborMode,0.849,0.848,0.852,0.849,0.896,0.827,0.860,0.800,0.878,0.837
32,2,allKNN,0.849,0.848,0.852,0.849,0.896,0.827,0.860,0.800,0.878,0.837
35,2,NearestNeighborMode,0.849,0.847,0.850,0.848,0.880,0.846,0.863,0.814,0.854,0.833
35,12,NearestNeighborMode,0.849,0.850,0.855,0.849,0.913,0.808,0.857,0.787,0.902,0.841
36,2,NearestNeighborMode,0.849,0.847,0.850,0.848,0.880,0.846,0.863,0.814,0.854,0.833
37,2,NearestNeighborMode,0.849,0.848,0.852,0.849,0.896,0.827,0.860,0.800,0.878,0.837
37,12,NearestNeighborMode,0.849,0.848,0.852,0.849,0.896,0.827,0.860,0.800,0.878,0.837
38,2,allKNN,0.849,0.850,0.855,0.849,0.913,0.808,0.857,0.787,0.902,0.841
40,2,allKNN,0.849,0.848,0.852,0.849,0.896,0.827,0.860,0.800,0.878,0.837
40,2,InstanceHardness,0.849,0.847,0.850,0.848,0.880,0.846,0.863,0.814,0.854,0.833
41,2,allKNN,0.849,0.848,0.852,0.849,0.896,0.827,0.860,0.800,0.878,0.837
49,12,NearestNeighborMode,0.849,0.850,0.855,0.849,0.913,0.808,0.857,0.787,0.902,0.841
50,12,Smote,0.849,0.849,0.845,0.846,0.852,0.885,0.868,0.846,0.805,0.825
51,12,Smote,0.849,0.847,0.847,0.847,0.865,0.865,0.865,0.829,0.829,0.829
55,12,SmoteTomek,0.849,0.849,0.845,0.846,0.852,0.885,0.868,0.846,0.805,0.825
55,12,clusterCen,0.849,0.847,0.847,0.847,0.865,0.865,0.865,0.829,0.829,0.829
55,12,OnesidedSelection,0.849,0.847,0.850,0.848,0.880,0.846,0.863,0.814,0.854,0.833
57,12,borderline,0.849,0.847,0.847,0.847,0.865,0.865,0.865,0.829,0.829,0.829
61,12,NearMiss,0.849,0.847,0.847,0.847,0.865,0.865,0.865,0.829,0.829,0.829
61,12,allKNN,0.849,0.850,0.855,0.849,0.913,0.808,0.857,0.787,0.902,0.841
63,2,InstanceHardness,0.849,0.849,0.845,0.846,0.852,0.885,0.868,0.846,0.805,0.825
63,12,clusterCen,0.849,0.847,0.847,0.847,0.865,0.865,0.865,0.829,0.829,0.829
65,12,OnesidedSelection,0.849,0.847,0.847,0.847,0.865,0.865,0.865,0.829,0.829,0.829
71,2,Smote,0.849,0.857,0.840,0.844,0.828,0.923,0.873,0.886,0.756,0.816
73,2,RandomOver,0.849,0.852,0.842,0.845,0.839,0.904,0.870,0.865,0.780,0.821
78,12,SmoteTomek,0.849,0.849,0.845,0.846,0.852,0.885,0.868,0.846,0.805,0.825
81,2,Smote,0.849,0.852,0.842,0.845,0.839,0.904,0.870,0.865,0.780,0.821
82,12,clusterCen,0.849,0.849,0.845,0.846,0.852,0.885,0.868,0.846,0.805,0.825
86,12,Smote,0.849,0.849,0.845,0.846,0.852,0.885,0.868,0.846,0.805,0.825
99,12,InstanceHardness,0.849,0.850,0.855,0.849,0.913,0.808,0.857,0.787,0.902,0.841
104,2,RandomOver,0.849,0.857,0.840,0.844,0.828,0.923,0.873,0.886,0.756,0.816
113,12,adasym,0.849,0.871,0.834,0.841,0.806,0.962,0.877,0.935,0.707,0.806
146,2,Smote,0.849,0.857,0.840,0.844,0.828,0.923,0.873,0.886,0.756,0.816
160,2,Smote,0.849,0.852,0.842,0.845,0.839,0.904,0.870,0.865,0.780,0.821
6,12,SmoteN,0.839,0.837,0.835,0.836,0.849,0.865,0.857,0.825,0.805,0.815
7,2,clusterCen,0.839,0.838,0.843,0.838,0.894,0.808,0.848,0.783,0.878,0.828
17,12,SmoteENN,0.839,0.837,0.840,0.838,0.878,0.827,0.851,0.795,0.854,0.824
17,12,clusterCen,0.839,0.837,0.835,0.836,0.849,0.865,0.857,0.825,0.805,0.815
20,12,RandomUnder,0.839,0.837,0.840,0.838,0.878,0.827,0.851,0.795,0.854,0.824
21,12,NearMiss,0.839,0.836,0.838,0.837,0.863,0.846,0.854,0.810,0.829,0.819
22,2,allKNN,0.839,0.836,0.838,0.837,0.863,0.846,0.854,0.810,0.829,0.819
22,12,adasym,0.839,0.837,0.835,0.836,0.849,0.865,0.857,0.825,0.805,0.815
22,12,allKNN,0.839,0.841,0.845,0.838,0.911,0.788,0.845,0.771,0.902,0.831
22,12,OnesidedSelection,0.839,0.836,0.838,0.837,0.863,0.846,0.854,0.810,0.829,0.819
23,12,OnesidedSelection,0.839,0.839,0.833,0.835,0.836,0.885,0.860,0.842,0.780,0.810
23,12,InstanceHardness,0.839,0.838,0.843,0.838,0.894,0.808,0.848,0.783,0.878,0.828
25,12,borderline,0.839,0.837,0.840,0.838,0.878,0.827,0.851,0.795,0.854,0.824
26,2,borderline,0.839,0.837,0.835,0.836,0.849,0.865,0.857,0.825,0.805,0.815
26,2,SmoteTomek,0.839,0.843,0.830,0.834,0.825,0.904,0.862,0.861,0.756,0.805
27,2,borderline,0.839,0.839,0.833,0.835,0.836,0.885,0.860,0.842,0.780,0.810
27,2,SmoteN,0.839,0.843,0.830,0.834,0.825,0.904,0.862,0.861,0.756,0.805
27,12,NearestNeighborMode,0.839,0.838,0.843,0.838,0.894,0.808,0.848,0.783,0.878,0.828
28,2,clusterCen,0.839,0.843,0.830,0.834,0.825,0.904,0.862,0.861,0.756,0.805
28,2,NearestNeighborMode,0.839,0.837,0.840,0.838,0.878,0.827,0.851,0.795,0.854,0.824
29,2,NearestNeighborMode,0.839,0.837,0.835,0.836,0.849,0.865,0.857,0.825,0.805,0.815
29,2,allKNN,0.839,0.836,0.838,0.837,0.863,0.846,0.854,0.810,0.829,0.819
30,2,SmoteTomek,0.839,0.839,0.833,0.835,0.836,0.885,0.860,0.842,0.780,0.810
30,2,NearestNeighborMode,0.839,0.836,0.838,0.837,0.863,0.846,0.854,0.810,0.829,0.819
32,2,RandomOver,0.839,0.843,0.830,0.834,0.825,0.904,0.862,0.861,0.756,0.805
32,2,NearMiss,0.839,0.837,0.835,0.836,0.849,0.865,0.857,0.825,0.805,0.815
32,2,InstanceHardness,0.839,0.837,0.840,0.838,0.878,0.827,0.851,0.795,0.854,0.824
33,2,NearestNeighborMode,0.839,0.836,0.838,0.837,0.863,0.846,0.854,0.810,0.829,0.819
33,2,allKNN,0.839,0.837,0.840,0.838,0.878,0.827,0.851,0.795,0.854,0.824
33,2,OnesidedSelection,0.839,0.839,0.833,0.835,0.836,0.885,0.860,0.842,0.780,0.810
34,2,NearestNeighborMode,0.839,0.836,0.838,0.837,0.863,0.846,0.854,0.810,0.829,0.819
36,2,allKNN,0.839,0.841,0.845,0.838,0.911,0.788,0.845,0.771,0.902,0.831
36,2,NeighborCleaningRule,0.839,0.858,0.853,0.839,0.974,0.731,0.835,0.741,0.976,0.842
36,12,NearestNeighborMode,0.839,0.838,0.843,0.838,0.894,0.808,0.848,0.783,0.878,0.828
36,12,InstanceHardness,0.839,0.841,0.845,0.838,0.911,0.788,0.845,0.771,0.902,0.831
37,2,allKNN,0.839,0.841,0.845,0.838,0.911,0.788,0.845,0.771,0.902,0.831
38,2,SmoteENN,0.839,0.837,0.835,0.836,0.849,0.865,0.857,0.825,0.805,0.815
38,12,clusterCen,0.839,0.837,0.835,0.836,0.849,0.865,0.857,0.825,0.805,0.815
38,12,OnesidedSelection,0.839,0.837,0.835,0.836,0.849,0.865,0.857,0.825,0.805,0.815
39,2,allKNN,0.839,0.838,0.843,0.838,0.894,0.808,0.848,0.783,0.878,0.828
40,2,NearestNeighborMode,0.839,0.837,0.840,0.838,0.878,0.827,0.851,0.795,0.854,0.824
41,2,NearestNeighborMode,0.839,0.836,0.838,0.837,0.863,0.846,0.854,0.810,0.829,0.819
41,2,InstanceHardness,0.839,0.836,0.838,0.837,0.863,0.846,0.854,0.810,0.829,0.819
42,2,RandomOver,0.839,0.848,0.827,0.832,0.814,0.923,0.865,0.882,0.732,0.800
42,12,NearMiss,0.839,0.837,0.835,0.836,0.849,0.865,0.857,0.825,0.805,0.815
43,12,clusterCen,0.839,0.836,0.838,0.837,0.863,0.846,0.854,0.810,0.829,0.819
44,2,SmoteENN,0.839,0.836,0.838,0.837,0.863,0.846,0.854,0.810,0.829,0.819
44,12,Smote,0.839,0.837,0.835,0.836,0.849,0.865,0.857,0.825,0.805,0.815
46,12,adasym,0.839,0.839,0.833,0.835,0.836,0.885,0.860,0.842,0.780,0.810
48,2,allKNN,0.839,0.838,0.843,0.838,0.894,0.808,0.848,0.783,0.878,0.828
48,12,NearestNeighborMode,0.839,0.841,0.845,0.838,0.911,0.788,0.845,0.771,0.902,0.831
49,12,adasym,0.839,0.837,0.835,0.836,0.849,0.865,0.857,0.825,0.805,0.815
51,12,adasym,0.839,0.839,0.833,0.835,0.836,0.885,0.860,0.842,0.780,0.810
52,12,RandomOver,0.839,0.839,0.833,0.835,0.836,0.885,0.860,0.842,0.780,0.810
54,12,SmoteTomek,0.839,0.837,0.835,0.836,0.849,0.865,0.857,0.825,0.805,0.815
54,12,clusterCen,0.839,0.838,0.843,0.838,0.894,0.808,0.848,0.783,0.878,0.828
55,2,borderline,0.839,0.863,0.822,0.829,0.794,0.962,0.870,0.933,0.683,0.789
55,2,InstanceHardness,0.839,0.837,0.835,0.836,0.849,0.865,0.857,0.825,0.805,0.815
55,12,RandomOver,0.839,0.837,0.835,0.836,0.849,0.865,0.857,0.825,0.805,0.815
56,2,NearestNeighborMode,0.839,0.837,0.835,0.836,0.849,0.865,0.857,0.825,0.805,0.815
56,12,Smote,0.839,0.836,0.838,0.837,0.863,0.846,0.854,0.810,0.829,0.819
56,12,SmoteN,0.839,0.839,0.833,0.835,0.836,0.885,0.860,0.842,0.780,0.810
56,12,InstanceHardness,0.839,0.838,0.843,0.838,0.894,0.808,0.848,0.783,0.878,0.828
57,12,OnesidedSelection,0.839,0.836,0.838,0.837,0.863,0.846,0.854,0.810,0.829,0.819
58,12,Smote,0.839,0.837,0.835,0.836,0.849,0.865,0.857,0.825,0.805,0.815
60,12,Smote,0.839,0.836,0.838,0.837,0.863,0.846,0.854,0.810,0.829,0.819
61,12,borderline,0.839,0.836,0.838,0.837,0.863,0.846,0.854,0.810,0.829,0.819
62,12,OnesidedSelection,0.839,0.837,0.840,0.838,0.878,0.827,0.851,0.795,0.854,0.824
63,2,SmoteTomek,0.839,0.855,0.825,0.831,0.803,0.942,0.867,0.906,0.707,0.795
63,12,RandomOver,0.839,0.837,0.835,0.836,0.849,0.865,0.857,0.825,0.805,0.815
63,12,OnesidedSelection,0.839,0.837,0.840,0.838,0.878,0.827,0.851,0.795,0.854,0.824
64,2,allKNN,0.839,0.841,0.845,0.838,0.911,0.788,0.845,0.771,0.902,0.831
64,12,clusterCen,0.839,0.837,0.840,0.838,0.878,0.827,0.851,0.795,0.854,0.824
65,12,RandomOver,0.839,0.839,0.833,0.835,0.836,0.885,0.860,0.842,0.780,0.810
66,2,Smote,0.839,0.855,0.825,0.831,0.803,0.942,0.867,0.906,0.707,0.795
66,12,clusterCen,0.839,0.836,0.838,0.837,0.863,0.846,0.854,0.810,0.829,0.819
66,12,OnesidedSelection,0.839,0.837,0.835,0.836,0.849,0.865,0.857,0.825,0.805,0.815
67,2,Smote,0.839,0.848,0.827,0.832,0.814,0.923,0.865,0.882,0.732,0.800
67,12,OnesidedSelection,0.839,0.836,0.838,0.837,0.863,0.846,0.854,0.810,0.829,0.819
68,2,borderline,0.839,0.848,0.827,0.832,0.814,0.923,0.865,0.882,0.732,0.800
68,2,allKNN,0.839,0.838,0.843,0.838,0.894,0.808,0.848,0.783,0.878,0.828
68,12,adasym,0.839,0.839,0.833,0.835,0.836,0.885,0.860,0.842,0.780,0.810
69,12,clusterCen,0.839,0.836,0.838,0.837,0.863,0.846,0.854,0.810,0.829,0.819
69,12,OnesidedSelection,0.839,0.836,0.838,0.837,0.863,0.846,0.854,0.810,0.829,0.819
70,2,NearestNeighborMode,0.839,0.841,0.845,0.838,0.911,0.788,0.845,0.771,0.902,0.831
70,12,adasym,0.839,0.839,0.833,0.835,0.836,0.885,0.860,0.842,0.780,0.810
71,2,RandomOver,0.839,0.848,0.827,0.832,0.814,0.923,0.865,0.882,0.732,0.800
72,12,RandomUnder,0.839,0.838,0.843,0.838,0.894,0.808,0.848,0.783,0.878,0.828
72,12,OnesidedSelection,0.839,0.836,0.838,0.837,0.863,0.846,0.854,0.810,0.829,0.819
73,2,Smote,0.839,0.848,0.827,0.832,0.814,0.923,0.865,0.882,0.732,0.800
74,2,RandomOver,0.839,0.855,0.825,0.831,0.803,0.942,0.867,0.906,0.707,0.795
76,2,RandomOver,0.839,0.843,0.830,0.834,0.825,0.904,0.862,0.861,0.756,0.805
77,2,RandomOver,0.839,0.843,0.830,0.834,0.825,0.904,0.862,0.861,0.756,0.805
78,2,RandomOver,0.839,0.843,0.830,0.834,0.825,0.904,0.862,0.861,0.756,0.805
79,12,NearMiss,0.839,0.836,0.838,0.837,0.863,0.846,0.854,0.810,0.829,0.819
83,12,RandomOver,0.839,0.839,0.833,0.835,0.836,0.885,0.860,0.842,0.780,0.810
83,12,Smote,0.839,0.843,0.830,0.834,0.825,0.904,0.862,0.861,0.756,0.805
83,12,clusterCen,0.839,0.836,0.838,0.837,0.863,0.846,0.854,0.810,0.829,0.819
83,12,NearestNeighborMode,0.839,0.851,0.851,0.839,0.951,0.750,0.839,0.750,0.951,0.839
84,2,RandomOver,0.839,0.848,0.827,0.832,0.814,0.923,0.865,0.882,0.732,0.800
85,12,borderline,0.839,0.839,0.833,0.835,0.836,0.885,0.860,0.842,0.780,0.810
85,12,clusterCen,0.839,0.837,0.835,0.836,0.849,0.865,0.857,0.825,0.805,0.815
86,12,RandomOver,0.839,0.839,0.833,0.835,0.836,0.885,0.860,0.842,0.780,0.810
87,12,clusterCen,0.839,0.836,0.838,0.837,0.863,0.846,0.854,0.810,0.829,0.819
87,12,RandomUnder,0.839,0.836,0.838,0.837,0.863,0.846,0.854,0.810,0.829,0.819
90,12,adasym,0.839,0.843,0.830,0.834,0.825,0.904,0.862,0.861,0.756,0.805
99,2,Smote,0.839,0.839,0.833,0.835,0.836,0.885,0.860,0.842,0.780,0.810
99,12,Smote,0.839,0.839,0.833,0.835,0.836,0.885,0.860,0.842,0.780,0.810
101,2,Smote,0.839,0.839,0.833,0.835,0.836,0.885,0.860,0.842,0.780,0.810
101,12,clusterCen,0.839,0.837,0.835,0.836,0.849,0.865,0.857,0.825,0.805,0.815
101,12,InstanceHardness,0.839,0.838,0.843,0.838,0.894,0.808,0.848,0.783,0.878,0.828
102,2,RandomOver,0.839,0.848,0.827,0.832,0.814,0.923,0.865,0.882,0.732,0.800
102,12,InstanceHardness,0.839,0.838,0.843,0.838,0.894,0.808,0.848,0.783,0.878,0.828
