Feature Number,Iteration Number,Resampling Name,Test Accuracy,Macro Precision,Macro Recall,Macro F1,High Precision,High Recall,High F1,Low Precision,Low Recall,Low F1
65,14,RandomUnder,0.892,0.891,0.883,0.887,0.897,0.929,0.912,0.886,0.838,0.861
283,15,adasym,0.892,0.886,0.897,0.890,0.942,0.875,0.907,0.829,0.919,0.872
14,14,SmoteENN,0.882,0.875,0.883,0.878,0.925,0.875,0.899,0.825,0.892,0.857
41,14,RandomUnder,0.882,0.878,0.874,0.876,0.895,0.911,0.903,0.861,0.838,0.849
57,12,adasym,0.882,0.875,0.888,0.879,0.941,0.857,0.897,0.810,0.919,0.861
64,14,RandomUnder,0.882,0.882,0.870,0.875,0.881,0.929,0.904,0.882,0.811,0.845
68,12,Smote,0.882,0.876,0.879,0.877,0.909,0.893,0.901,0.842,0.865,0.853
69,12,SmoteTomek,0.882,0.875,0.883,0.878,0.925,0.875,0.899,0.825,0.892,0.857
133,15,adasym,0.882,0.875,0.883,0.878,0.925,0.875,0.899,0.825,0.892,0.857
204,10,RandomOver,0.882,0.882,0.870,0.875,0.881,0.929,0.904,0.882,0.811,0.845
281,15,adasym,0.882,0.875,0.883,0.878,0.925,0.875,0.899,0.825,0.892,0.857
284,15,adasym,0.882,0.876,0.879,0.877,0.909,0.893,0.901,0.842,0.865,0.853
296,14,Smote,0.882,0.895,0.861,0.872,0.857,0.964,0.908,0.933,0.757,0.836
305,15,adasym,0.882,0.875,0.883,0.878,0.925,0.875,0.899,0.825,0.892,0.857
38,15,adasym,0.871,0.868,0.884,0.869,0.958,0.821,0.885,0.778,0.946,0.854
44,15,NeighborCleaningRule,0.871,0.872,0.888,0.870,0.978,0.804,0.882,0.766,0.973,0.857
49,15,Smote,0.871,0.864,0.870,0.867,0.907,0.875,0.891,0.821,0.865,0.842
50,15,NeighborCleaningRule,0.871,0.872,0.888,0.870,0.978,0.804,0.882,0.766,0.973,0.857
57,12,SmoteTomek,0.871,0.864,0.875,0.868,0.923,0.857,0.889,0.805,0.892,0.846
61,15,NeighborCleaningRule,0.871,0.868,0.884,0.869,0.958,0.821,0.885,0.778,0.946,0.854
62,14,RandomUnder,0.871,0.868,0.861,0.864,0.879,0.911,0.895,0.857,0.811,0.833
63,15,NearestNeighborMode,0.871,0.865,0.879,0.868,0.940,0.839,0.887,0.791,0.919,0.850
66,15,RandomUnderReSam,0.871,0.865,0.879,0.868,0.940,0.839,0.887,0.791,0.919,0.850
66,15,NeighborCleaningRule,0.871,0.872,0.888,0.870,0.978,0.804,0.882,0.766,0.973,0.857
70,12,Smote,0.871,0.864,0.875,0.868,0.923,0.857,0.889,0.805,0.892,0.846
72,12,adasym,0.871,0.864,0.875,0.868,0.923,0.857,0.889,0.805,0.892,0.846
72,15,Smote,0.871,0.864,0.870,0.867,0.907,0.875,0.891,0.821,0.865,0.842
81,10,SmoteN,0.871,0.868,0.861,0.864,0.879,0.911,0.895,0.857,0.811,0.833
82,10,SmoteN,0.871,0.868,0.861,0.864,0.879,0.911,0.895,0.857,0.811,0.833
100,10,SmoteN,0.871,0.868,0.861,0.864,0.879,0.911,0.895,0.857,0.811,0.833
106,15,Smote,0.871,0.864,0.870,0.867,0.907,0.875,0.891,0.821,0.865,0.842
